Firm,Day,@TPP,@TPP adj,@TPP reported
Essential,1,51.251,51.543,51.0
Essential,15,51.739,52.031,52.0
Essential,31,51.709,52.001,52.0
Newspoll2,47,49.883,49.805,50.0
Essential,45,51.221,51.513,51.0
Newspoll2,61,49.875,49.797,50.0
Essential,58,52.079,52.371,52.0
Essential,73,50.789,51.081,52.0
Newspoll2,75,52.163,52.085,52.0
Essential,86,51.608,51.9,52.0
Newspoll2,89,51.092,51.014,52.0
Essential,102,52.115,52.407,52.0
Newspoll2,103,51.693,51.615,52.0
Essential,116,52.116,52.408,53.0
Newspoll2,117,52.161,52.083,53.0
Essential,129,52.115,52.407,52.0
Newspoll2,131,52.785,52.707,53.0
Ipsos,137,51.436,51.263,51.0
Essential,143,51.095,51.387,52.0
Newspoll2,145,51.186,51.108,52.0
Essential,157,52.394,52.685,53.0
ReachTEL,185,51.032,51.002,54.0
Essential,187,51.611,51.903,53.0
Essential,198,51.41,51.702,54.0
Newspoll2,208,52.879,52.801,54.0
Essential,212,51.411,51.703,52.0
Essential,226,51.978,52.27,53.0
Newspoll2,229,53.695,53.617,55.0
Essential,240,52.298,52.59,53.0
Newspoll2,250,50.875,50.797,52.0
Ipsos,256,55.366,55.193,55.0
Essential,254,53.377,53.668,54.0
Newspoll2,264,52.201,52.123,53.0
Essential,266,51.917,52.209,53.0
Essential,280,51.919,52.211,53.0
Newspoll2,285,51.369,51.291,52.0
Essential,294,53.117,53.409,54.0
Ipsos,305,52.923,52.751,53.0
ReachTEL,304,50.455,50.425,53.0
Newspoll2,306,52.295,52.217,53.0
Essential,308,52.643,52.935,54.0
Newspoll2,321,52.295,52.217,53.0
Essential,322,51.603,51.895,52.0
Essential,336,50.486,50.777,52.0
Newspoll2,341,52.289,52.211,53.0
YouGov,349,53.594,53.836,51.0
Essential,350,51.842,52.134,53.0
ReachTEL,353,51.805,51.776,52.0
Newspoll2,362,52.601,52.523,53.0
YouGov,363,51.61,51.852,48.0
Essential,364,53.516,53.808,54.0
ReachTEL,373,50.604,50.574,51.0
Newspoll2,376,52.475,52.397,53.0
YouGov,376,50.864,51.106,50.0
Essential,378,51.402,51.694,52.0
Newspoll2,390,52.713,52.635,53.0
YouGov,390,51.576,51.818,50.0
Essential,392,53.088,53.38,54.0
Newspoll2,404,53.473,53.395,54.0
YouGov,404,51.662,51.904,49.0
Essential,406,51.944,52.236,53.0
ReachTEL,408,53.351,53.322,52.0
Essential,414,52.893,53.185,53.0
Newspoll2,418,52.58,52.502,53.0
YouGov,418,51.901,52.143,50.0
Ipsos,424,51.673,51.501,53.0
Essential,428,51.424,51.716,52.0
YouGov,432,53.098,53.341,50.0
Essential,435,51.401,51.693,52.0
Newspoll2,439,53.073,52.995,54.0
Essential,442,53.473,53.765,54.0
ReachTEL,447,53.072,53.043,53.0
Essential,453,51.587,51.879,52.0
Newspoll2,460,52.799,52.721,54.0
Essential,470,53.044,53.336,54.0
Newspoll2,474,53.291,53.213,54.0
Essential,488,53.071,53.363,54.0
Newspoll2,487,53.871,53.793,55.0
YouGov,488,53.835,54.077,52.0
Essential,498,53.087,53.379,54.0
YouGov,502,52.021,52.263,53.0
ReachTEL,506,53.769,53.74,53.0
Ipsos,509,52.92,52.747,53.0
Newspoll2,509,52.891,52.813,53.0
YouGov,516,53.148,53.391,50.0
Essential,516,52.685,52.977,54.0
Newspoll2,523,52.984,52.906,53.0
Essential,551,52.785,53.077,53.0
ReachTEL,563,53.367,53.338,52.0
Essential,565,52.897,53.189,54.0
Newspoll2,571,52.181,52.103,52.0
Essential,579,53.104,53.396,54.0
Newspoll2,586,52.89,52.812,53.0
ReachTEL,593,54.785,54.756,54.0
Essential,593,52.381,52.673,53.0
Newspoll2,600,52.669,52.591,53.0
Morgan multi-mode,604,53.989,53.792,54.0
Essential,607,53.055,53.347,54.0
Morgan multi-mode,618,50.973,50.776,51.0
Newspoll2,621,53.176,53.098,53.0
Essential,621,51.084,51.375,52.0
ReachTEL,625,53.458,53.429,54.0
Morgan multi-mode,625,52.7,52.504,51.0
Ipsos,632,52.019,51.846,52.0
Newspoll2,635,51.995,51.917,52.0
Essential,635,51.984,52.276,53.0
Newspoll2,649,51.67,51.592,51.0
Essential,649,52.216,52.508,53.0
ReachTEL,658,52.386,52.357,52.0
Essential,663,52.131,52.423,53.0
Ipsos,669,53.493,53.32,54.0
Newspoll2,670,51.777,51.699,51.0
Essential,670,51.525,51.817,52.0
Essential,677,50.4,50.692,51.0
Newspoll2,684,52.084,52.006,52.0
ReachTEL,689,52.092,52.063,52.0
Essential,691,52.903,53.195,54.0
Essential,705,51.322,51.614,52.0
Newspoll2,705,52.595,52.517,52.0
Ipsos,712,53.205,53.032,53.0
Newspoll2,719,51.266,51.188,51.0
Essential,719,51.435,51.727,52.0
Newspoll2,733,51.488,51.41,51.0
Essential,733,50.616,50.908,51.0
Ipsos,739,50.724,50.552,51.0
Newspoll2,747,50.995,50.917,51.0
Essential,747,50.11,50.402,51.0
Newspoll2,761,51.287,51.209,51.0
Essential,761,51.602,51.894,52.0
Ipsos,767,54.328,54.155,55.0
Morgan multi-mode,769,55.856,55.659,50.5
Newspoll2,775,56.369,56.291,56.0
Essential,775,54.384,54.676,55.0
Morgan multi-mode,776,53.505,53.308,54.0
Newspoll2,789,56.477,56.399,56.0
Essential,789,52.785,53.076,54.0
Ipsos,795,52.435,52.262,53.0
Newspoll2,803,53.968,53.88,54.0
Essential,803,52.707,53.004,53.0
Essential,817,51.811,52.127,53.0
Ipsos,823,54.16,54.043,55.0
Newspoll2,823,53.297,53.161,53.0
Essential,831,51.878,52.214,53.0
Newspoll2,838,53.644,53.474,54.0
Essential,845,53.971,54.327,54.0
Newspoll2,852,54.645,54.44,55.0
Ipsos,858,52.011,51.973,52.0
Essential,859,51.679,52.054,52.0
Newspoll2,866,54.946,54.707,55.0
Essential,873,52.979,53.373,54.0
Newspoll2,880,55.055,54.782,55.0
Ipsos,886,53.884,53.911,54.0
Essential,887,52.18,52.594,53.0
Essential,914,52.373,52.822,53.0
Newspoll2,929,52.624,52.254,53.0
Essential,930,51.351,51.809,52.0
Morgan multi-mode,940,54.26,53.865,54.0
Newspoll2,943,53.224,52.854,53.0
Essential,943,54.336,54.793,55.0
Ipsos,948,50.992,51.099,51.0
Morgan multi-mode,951,54.395,54.0,52.5
Newspoll2,957,53.218,52.848,53.0
Essential,957,51.504,51.961,52.0
uComms,961,51.292,51.618,53.0
Newspoll2,971,53.522,53.151,54.0
Essential,971,52.195,52.652,53.0
Essential,985,50.848,51.306,52.0
Galaxy,989,52.557,52.322,53.0
Morgan multi-mode,982,54.458,54.062,55.0
Ipsos,998,51.988,52.094,53.0
Newspoll2,999,51.619,51.249,52.0
Morgan multi-mode,1000,52.794,52.399,52.5
Essential,999,51.371,51.828,52.0
Newspoll2,1006,52.306,51.936,52.0
Morgan multi-mode,1014,50.663,50.268,51.0
Galaxy,1017,52.107,51.873,52.0
Newspoll2,1020,51.522,51.152,51.0
Morgan multi-mode,1021,50.856,50.46,51.0
Essential,1020,51.034,51.492,51.0
Ipsos,1026,52.262,52.369,52.0
Newspoll2,1027,51.015,50.645,51.0
Morgan multi-mode,1028,50.546,50.151,51.0
Essential,1027,50.848,51.305,52.0
Newspoll2,1034,51.122,50.752,51.0
