Firm,Day,@TPP,@TPP adj,@TPP reported
F2F Morgan,1,60.947,58.187,61.5
Nielsen,21,60.947,58.833,61.0
F2F Morgan,32,59.348,56.589,59.5
F2F Morgan,63,59.678,56.918,59.5
Nielsen,82,59.622,57.508,60.0
F2F Morgan,93,58.708,55.949,58.5
Newspoll,110,54.345,58.009,nan
F2F Morgan,124,58.147,55.388,59.0
Nielsen,151,61.22,59.106,61.0
F2F Morgan,155,59.389,56.629,60.0
Newspoll,171,51.725,55.389,nan
F2F Morgan,185,57.996,55.237,58.0
F2F Morgan,216,56.51,53.751,57.5
Newspoll,232,54.252,57.916,nan
Nielsen,237,56.361,54.247,55.0
F2F Morgan,246,60.632,57.872,61.0
F2F Morgan,277,60.086,57.326,61.0
Newspoll,294,53.379,57.043,nan
F2F Morgan,308,59.124,56.365,59.5
Nielsen,327,59.595,57.481,59.0
F2F Morgan,337,61.592,58.833,62.0
Newspoll,354,52.326,55.99,nan
F2F Morgan,368,61.925,59.166,62.5
F2F Morgan,398,59.336,56.576,59.5
Newspoll,415,55.484,59.148,nan
F2F Morgan,429,62.339,59.58,63.0
F2F Morgan,459,60.632,57.872,61.0
Nielsen,473,60.67,58.556,61.0
Newspoll,476,51.725,55.389,nan
F2F Morgan,490,59.234,56.475,60.0
F2F Morgan,521,59.583,56.824,61.0
Newspoll,537,54.988,58.652,nan
Nielsen,550,59.903,57.789,60.0
F2F Morgan,551,62.943,60.184,63.0
F2F Morgan,582,63.738,60.979,63.5
Newspoll,598,51.725,55.389,nan
F2F Morgan,612,61.221,58.461,62.0
F2F Morgan,643,60.238,57.478,61.0
Newspoll,660,55.011,58.675,nan
F2F Morgan,674,62.056,59.296,64.0
Nielsen,699,63.078,60.964,62.0
F2F Morgan,702,65.569,62.809,65.5
Newspoll,719,56.197,59.861,nan
F2F Morgan,733,63.695,60.936,65.0
F2F Morgan,763,62.805,60.046,64.0
Newspoll,780,58.409,62.073,nan
F2F Morgan,794,62.562,59.803,63.0
F2F Morgan,824,58.075,55.316,58.5
Newspoll,841,49.678,53.342,nan
F2F Morgan,855,58.777,56.018,59.0
Nielsen,862,58.849,56.735,58.0
F2F Morgan,886,58.29,55.531,59.0
Newspoll,902,48.998,52.662,nan
F2F Morgan,916,56.832,54.072,57.5
F2F Morgan,947,59.246,56.487,60.0
Newspoll,963,47.153,50.817,nan
F2F Morgan,977,51.048,48.289,52.5
F2F Morgan,1008,58.43,55.671,59.5
Newspoll,1025,50.509,54.173,nan
F2F Morgan,1039,54.082,51.322,56.0
F2F Morgan,1067,56.912,54.153,58.0
Newspoll,1084,53.977,57.641,nan
F2F Morgan,1098,54.371,51.612,55.5
F2F Morgan,1128,58.044,55.285,59.0
Newspoll,1145,49.547,53.211,nan
F2F Morgan,1159,60.07,57.311,60.5
F2F Morgan,1189,55.792,53.032,56.5
Newspoll,1206,51.687,55.212,nan
F2F Morgan,1220,59.816,57.029,60.5
F2F Morgan,1251,57.284,54.458,58.0
Newspoll,1267,51.742,54.189,nan
F2F Morgan,1281,57.507,54.644,59.0
F2F Morgan,1312,57.876,54.977,57.5
Newspoll,1328,52.864,54.441,nan
F2F Morgan,1342,59.357,56.45,60.0
F2F Morgan,1373,62.17,59.263,63.5
Newspoll,1390,54.072,55.65,nan
F2F Morgan,1404,60.892,57.985,62.0
Nielsen,1415,52.672,54.123,54.0
Nielsen,1423,55.386,56.837,58.0
Newspoll,1426,55.968,57.546,nan
Morgan Phone,1430,58.011,58.074,62.0
Nielsen,1430,55.072,56.524,56.0
Nielsen,1437,55.69,57.141,58.0
Newspoll,1437,58.0,59.577,60.5
