Firm,Day,@TPP,@TPP adj,@TPP reported
Westpoll,60,44.198,44.698,44.0
Westpoll,128,42.233,42.733,44.0
Newspoll,159,47.332,46.006,45.0
Westpoll,176,42.788,43.288,43.0
Westpoll,273,40.0,40.5,41.0
Westpoll,340,47.968,48.468,nan
Westpoll,401,46.512,47.012,47.0
Westpoll,500,44.093,44.592,43.0
Newspoll,524,49.671,48.346,47.0
Newspoll,614,49.342,48.017,46.0
Newspoll,706,46.152,44.826,43.0
Newspoll,797,44.321,42.996,42.0
Newspoll,889,44.491,43.165,43.0
Newspoll,978,57.491,56.165,43.0
Newspoll,1071,44.791,43.465,43.0
Newspoll,1163,43.391,42.065,41.0
Westpoll,1228,41.052,41.551,41.0
Newspoll,1254,48.661,47.335,47.0
Morgan Phone,1331,38.18,38.514,37.5
Westpoll,1401,45.5,45.995,46.0
Morgan Phone,1418,42.154,42.413,40.0
Newspoll,1437,44.911,43.917,43.0
Newspoll,1529,44.491,44.213,42.0
Westpoll,1591,40.902,41.098,41.0
Newspoll,1611,44.761,44.483,43.0
Galaxy,1625,45.641,45.073,44.0
Newspoll,1639,41.761,41.483,40.5
