Firm,Day,@TPP,@TPP adj,@TPP reported
F2F Morgan,1,48.539,47.847,51.0
Newspoll,4,46.562,47.343,nan
F2F Morgan,15,51.408,50.716,54.5
Newspoll,18,52.161,52.942,nan
F2F Morgan,29,49.422,48.73,52.5
Newspoll,32,48.095,48.876,nan
F2F Morgan,43,51.857,51.165,55.0
Newspoll,46,48.562,49.343,nan
Quadrant,52,55.963,54.83,nan
F2F Morgan,57,48.739,48.047,52.0
Newspoll,60,46.628,47.409,nan
F2F Morgan,92,50.398,49.706,54.0
Newspoll,95,46.095,46.876,nan
F2F Morgan,106,50.143,49.451,53.5
Newspoll,109,47.562,48.343,nan
F2F Morgan,120,48.685,47.993,52.0
Newspoll,123,48.496,49.277,nan
F2F Morgan,134,48.005,47.313,51.0
Nielsen,136,47.694,47.676,49.0
Newspoll,137,47.496,48.277,nan
F2F Morgan,148,51.173,50.481,55.5
Newspoll,151,50.562,51.343,nan
F2F Morgan,162,50.398,49.706,54.0
Newspoll,165,50.562,51.343,nan
F2F Morgan,176,50.939,50.247,55.0
Newspoll,179,49.562,50.343,nan
Nielsen,179,49.796,49.778,51.0
F2F Morgan,190,51.833,51.141,55.0
Newspoll,200,51.628,52.409,nan
F2F Morgan,204,52.563,51.87,56.5
Newspoll,214,50.496,51.277,nan
Nielsen,214,51.249,51.231,53.0
F2F Morgan,218,51.664,50.972,54.0
Newspoll,228,52.095,52.876,nan
F2F Morgan,232,49.472,48.78,52.0
Nielsen,234,51.227,51.209,52.0
F2F Morgan,246,51.85,51.158,54.5
Newspoll,249,51.095,51.876,nan
F2F Morgan,260,48.733,48.041,53.5
Newspoll,263,46.562,47.343,nan
F2F Morgan,274,48.515,47.823,51.5
Newspoll,277,51.562,52.343,nan
Nielsen,277,48.76,48.742,50.0
F2F Morgan,288,50.159,49.467,53.5
Newspoll,291,49.562,50.343,nan
F2F Morgan,302,47.782,47.09,50.5
F2F Morgan,302,47.547,46.855,50.0
Newspoll,305,49.562,50.343,nan
Nielsen,305,50.721,50.703,51.0
F2F Morgan,316,50.832,50.14,54.5
Newspoll,319,45.628,46.409,nan
F2F Morgan,330,49.261,48.569,51.5
Newspoll,333,47.562,48.343,nan
F2F Morgan,344,49.756,49.063,52.5
Newspoll,347,48.562,49.343,nan
F2F Morgan,358,49.981,49.289,51.5
Newspoll,361,48.562,49.343,nan
Nielsen,361,49.161,49.143,51.0
F2F Morgan,372,50.191,49.499,53.0
Newspoll,375,51.562,52.343,nan
F2F Morgan,386,49.692,49.0,51.0
Newspoll,389,48.496,49.277,nan
F2F Morgan,400,50.432,49.74,53.5
Newspoll,403,49.029,49.81,nan
F2F Morgan,414,50.322,49.63,52.5
Newspoll,417,48.43,49.211,nan
Nielsen,417,49.694,49.676,51.0
F2F Morgan,428,52.365,51.673,55.5
Newspoll,431,49.43,50.211,nan
F2F Morgan,456,52.527,51.835,56.0
Newspoll,466,51.496,52.277,nan
F2F Morgan,470,53.236,52.544,56.5
Newspoll,480,52.562,53.343,nan
F2F Morgan,484,53.814,53.122,57.5
Nielsen,487,53.697,53.679,55.0
Newspoll,494,50.496,51.277,nan
F2F Morgan,495,53.782,53.09,56.5
F2F Morgan,502,51.587,50.895,55.0
Newspoll,508,47.963,48.744,nan
F2F Morgan,512,52.79,52.098,56.5
Newspoll,522,51.095,51.876,nan
F2F Morgan,526,51.688,50.996,54.5
Nielsen,529,51.694,51.676,54.0
Newspoll,536,52.029,52.81,nan
F2F Morgan,540,54.075,53.383,57.0
Newspoll,550,50.029,50.81,nan
F2F Morgan,554,53.105,52.413,56.5
Newspoll,564,52.628,53.409,nan
F2F Morgan,507,54.329,53.637,57.5
Newspoll,578,49.496,50.277,nan
