Firm,Day,@TPP,@TPP adj,@TPP reported
Newspoll,1,35.079,35.06,nan
Newspoll,93,40.367,40.348,nan
Newspoll,185,40.244,40.226,nan
Newspoll,274,35.922,35.904,nan
Newspoll,366,36.826,36.807,nan
Newspoll,458,46.292,46.273,nan
Newspoll,550,42.612,42.593,nan
Newspoll,640,39.018,38.999,nan
Newspoll,732,40.953,40.935,nan
Newspoll,824,44.44,44.422,nan
Newspoll,916,45.5,45.481,nan
Newspoll,1005,43.762,43.743,nan
Advertiser,1036,46.533,46.636,nan
Newspoll,1097,46.772,46.753,nan
Advertiser,1136,43.2,43.302,nan
Newspoll,1152,47.555,47.536,nan
