Firm,Day,@TPP,@TPP adj,@TPP reported
F2F Morgan,1,58.94,56.367,63.0
Westpoll,40,62.262,61.809,nan
F2F Morgan,62,58.306,55.733,60.5
Westpoll,94,56.824,56.37,nan
F2F Morgan,123,55.798,53.224,59.0
Westpoll,132,59.118,58.664,nan
Newspoll,137,47.447,48.588,nan
F2F Morgan,184,53.324,50.751,52.0
Newspoll,229,46.263,47.405,nan
F2F Morgan,245,51.797,49.223,51.5
F2F Morgan,307,50.284,47.71,50.5
Newspoll,321,47.806,48.947,nan
Westpoll,335,46.45,45.997,nan
F2F Morgan,366,50.799,48.226,53.5
Westpoll,407,53.283,52.83,nan
Newspoll,410,50.153,51.294,nan
F2F Morgan,427,53.234,50.66,54.0
F2F Morgan,488,51.546,48.973,52.5
Westpoll,499,51.768,51.314,nan
Newspoll,502,49.694,50.835,nan
F2F Morgan,549,53.487,50.914,54.5
Westpoll,591,49.031,48.577,nan
Newspoll,594,47.778,48.919,nan
F2F Morgan,610,50.389,47.815,50.0
Westpoll,643,51.313,50.86,nan
F2F Morgan,672,50.916,48.343,50.0
Westpoll,674,49.444,48.991,nan
Newspoll,686,48.093,49.234,nan
Westpoll,713,49.25,48.797,nan
F2F Morgan,731,54.74,52.166,55.5
Newspoll,775,51.134,52.275,nan
F2F Morgan,792,55.212,52.638,52.0
Westpoll,824,48.182,47.729,nan
F2F Morgan,853,52.897,50.324,52.5
Westpoll,855,48.333,47.88,nan
Newspoll,867,47.143,48.284,nan
Westpoll,892,41.443,40.99,nan
F2F Morgan,914,53.282,50.709,53.0
Westpoll,927,46.289,45.835,nan
Newspoll,959,47.653,48.794,nan
F2F Morgan,975,52.202,49.629,53.0
Westpoll,1020,50.303,49.85,nan
F2F Morgan,1037,54.308,51.734,54.5
Westpoll,1046,50.051,49.597,nan
Newspoll,1051,48.571,49.713,48.0
Westpoll,1068,52.576,52.123,nan
F2F Morgan,1097,53.807,51.234,55.0
Westpoll,1099,53.182,52.729,nan
Westpoll,1129,50.7,50.247,nan
Newspoll,1141,49.15,50.291,50.0
Westpoll,1160,51.061,50.607,nan
Westpoll,1190,52.704,52.257,nan
Westpoll,1221,49.819,49.418,50.5
Westpoll,1313,46.023,45.742,nan
Newspoll,1325,43.838,44.226,44.0
Westpoll,1343,44.253,43.972,nan
Westpoll,1381,49.451,49.17,nan
Newspoll,1400,47.626,48.014,50.0
Westpoll,1403,49.451,49.17,49.6
