Firm,Day,@TPP,@TPP adj,@TPP reported
F2F Morgan,1,61.471,55.793,61.5
F2F Morgan,62,64.785,59.106,65.0
F2F Morgan,123,63.36,57.681,64.0
F2F Morgan,184,60.834,55.155,59.5
Newspoll,229,51.177,53.356,52.0
F2F Morgan,245,59.111,53.433,58.0
F2F Morgan,307,60.876,55.198,59.5
Newspoll,321,54.852,57.031,55.0
F2F Morgan,366,62.304,56.626,61.5
Newspoll,410,55.451,57.63,56.0
F2F Morgan,427,60.163,54.484,58.5
Newspoll,488,48.957,51.136,50.0
F2F Morgan,488,62.287,56.608,61.5
Newspoll,519,49.771,51.951,50.0
F2F Morgan,549,58.085,52.406,56.5
Newspoll,594,48.463,50.642,50.0
F2F Morgan,610,58.943,53.265,59.0
F2F Morgan,672,58.912,53.543,58.0
Newspoll,687,49.194,50.871,50.0
F2F Morgan,731,59.214,54.69,59.5
Newspoll,775,51.285,51.878,52.0
F2F Morgan,792,59.842,55.853,60.0
Newspoll,853,53.592,54.186,54.0
F2F Morgan,853,57.778,53.789,58.5
Galaxy,862,50.661,50.996,49.0
Galaxy,876,54.928,55.263,54.0
Newspoll,879,58.426,59.02,58.0
Newspoll,890,55.71,56.304,55.0
Galaxy,890,57.175,57.51,56.5
Morgan Phone,890,54.487,54.902,53.0
