Firm,Day,@TPP,@TPP adj,@TPP reported
F2F Morgan,1,53.504,52.699,nan
Newspoll,8,51.504,51.111,nan
F2F Morgan,15,52.78,51.975,nan
F2F Morgan,29,49.28,48.475,nan
Newspoll,39,48.892,48.499,nan
F2F Morgan,43,50.668,49.863,nan
F2F Morgan,57,49.668,48.863,nan
Newspoll,67,47.504,47.111,nan
F2F Morgan,71,50.974,50.169,nan
F2F Morgan,85,48.892,48.087,nan
F2F Morgan,99,49.974,49.169,nan
Newspoll,102,48.504,48.111,nan
F2F Morgan,113,47.168,46.363,nan
F2F Morgan,127,47.168,46.363,nan
Newspoll,137,47.28,46.887,nan
F2F Morgan,141,48.28,47.475,nan
F2F Morgan,155,47.056,46.251,nan
Newspoll,165,47.504,47.111,nan
F2F Morgan,169,46.892,46.087,nan
F2F Morgan,183,45.116,44.311,nan
Newspoll,197,44.504,44.111,nan
F2F Morgan,197,44.116,43.311,nan
F2F Morgan,211,44.728,43.923,nan
F2F Morgan,225,43.116,42.311,nan
Newspoll,228,43.892,43.499,nan
F2F Morgan,239,43.728,42.923,nan
Newspoll,246,43.504,43.111,nan
F2F Morgan,253,44.422,43.617,nan
F2F Morgan,281,43.728,42.923,nan
F2F Morgan,295,45.892,45.087,nan
F2F Morgan,309,47.086,46.281,nan
Newspoll,316,44.892,44.499,nan
F2F Morgan,323,46.116,45.311,nan
F2F Morgan,337,45.66,44.855,nan
Newspoll,340,44.28,43.887,nan
F2F Morgan,351,44.116,43.311,nan
F2F Morgan,365,45.116,44.311,nan
Newspoll,375,45.504,45.111,nan
F2F Morgan,379,44.34,43.535,nan
F2F Morgan,393,43.728,42.923,nan
Newspoll,403,44.892,44.499,nan
F2F Morgan,407,43.116,42.311,nan
F2F Morgan,418,45.504,44.699,nan
F2F Morgan,425,48.504,47.699,nan
F2F Morgan,435,48.504,47.699,nan
Newspoll,445,46.668,46.275,nan
F2F Morgan,449,47.504,46.699,nan
F2F Morgan,463,45.116,44.311,nan
Newspoll,473,47.28,46.887,nan
F2F Morgan,477,47.116,46.311,nan
F2F Morgan,491,43.698,42.893,nan
Newspoll,501,47.668,47.275,nan
F2F Morgan,505,46.892,46.087,nan
