Firm,Day,ALP TPP,ALP TPP adj
F2F Morgan,1,60.64465,57.220185075235854
Morgan Phone,2,58.471,58.066518365924345
F2F Morgan,36,61.3217,57.897235075235855
Newspoll,46,58.786199999999994,58.139836497682225
F2F Morgan,50,58.773950000000006,55.34948507523586
Morgan Phone,51,63.300000000000004,62.89551836592435
Morgan Phone,58,59.8217,59.41721836592435
F2F Morgan,64,62.530849999999994,59.10638507523585
Newspoll,74,57.638600000000004,56.992236497682235
F2F Morgan,78,64.23395,60.80948507523585
Newspoll,88,62.638600000000004,61.992236497682235
F2F Morgan,92,65.00309999999999,61.578635075235844
Morgan Phone,99,61.10635,60.70186836592435
Newspoll,102,58.9893,58.34293649768223
F2F Morgan,106,63.8017,60.37723507523585
Morgan Phone,117,60.423249999999996,60.018768365924345
Newspoll,123,59.1924,58.54603649768223
Morgan Phone,128,63.32775,62.92326836592435
F2F Morgan,131,61.95705,58.53258507523586
Morgan Phone,135,62.5586,62.15411836592435
Newspoll,137,60.9493,60.30293649768223
F2F Morgan,141,61.883250000000004,58.45878507523586
Newspoll,151,57.3955,56.74913649768223
F2F Morgan,152,62.0986,58.67413507523585
Morgan Phone,157,57.3955,56.99101836592435
Nielsen,164,55.5986,56.48090360781895
Newspoll,165,57.3955,56.74913649768223
F2F Morgan,166,59.32945,55.90498507523586
F2F Morgan,173,60.82945,57.40498507523586
F2F Morgan,180,62.8955,59.471035075235854
Morgan Phone,186,55.720150000000004,55.31566836592435
F2F Morgan,187,58.49705,55.07258507523586
Nielsen,192,55.638600000000004,56.52090360781896
Newspoll,193,59.678599999999996,59.03223649768223
Essential,195,59.9372,57.092989176127446
F2F Morgan,197,61.1524,57.727935075235855
Newspoll,207,55.1924,54.54603649768223
F2F Morgan,211,58.767900000000004,55.34343507523586
Essential,226,59.3834,56.53918917612745
Newspoll,221,55.435500000000005,54.789136497682236
F2F Morgan,222,59.94155,56.517085075235855
Nielsen,227,54.1924,55.074703607818954
F2F Morgan,229,54.923249999999996,51.49878507523585
Newspoll,235,57.7462,57.09983649768223
Essential,237,58.2879,55.44368917612745
F2F Morgan,239,55.0986,51.67413507523585
Newspoll,248,56.9493,56.30293649768223
F2F Morgan,253,56.99705,53.57258507523586
Essential,253,57.0848,54.24058917612745
Nielsen,255,54.2879,55.170203607818955
Newspoll,263,55.491,54.84463649768223
Essential,264,58.5865,55.74228917612745
F2F Morgan,267,58.180150000000005,54.75568507523586
Newspoll,277,56.435500000000005,55.789136497682236
Essential,278,57.9772,55.13298917612745
F2F Morgan,281,55.491,52.066535075235855
Nielsen,290,51.3955,52.27780360781895
Newspoll,291,54.531,53.88463649768223
Essential,292,57.8417,54.99748917612745
F2F Morgan,295,57.6924,54.267935075235854
Morgan Phone,295,57.8834,57.47891836592435
F2F Morgan,309,57.463249999999995,54.03878507523585
Newspoll,312,55.029300000000006,54.38293649768224
Essential,313,58.638600000000004,55.79438917612745
Morgan Phone,317,57.1524,56.74791836592435
Nielsen,318,56.3955,57.27780360781895
F2F Morgan,323,56.720150000000004,53.29568507523586
Newspoll,326,54.8417,54.195336497682234
Essential,327,61.0448,58.20058917612745
F2F Morgan,337,58.773950000000006,55.34948507523586
Newspoll,340,55.2879,54.64153649768223
Essential,341,55.2879,52.44368917612745
Nielsen,346,55.7462,56.628503607818956
Galaxy,347,54.5431,54.30712074437973
F2F Morgan,351,59.47705,56.052585075235854
Newspoll,354,54.8817,54.23533649768223
Essential,355,58.491,55.64678917612745
F2F Morgan,365,59.86775,56.443285075235856
Newspoll,368,59.1924,58.54603649768223
Essential,369,58.0448,55.20058917612745
F2F Morgan,379,60.0586,56.634135075235854
F2F Morgan,400,60.4293,57.00483507523585
Essential,404,60.0448,57.20058917612745
Newspoll,410,54.638600000000004,53.992236497682235
F2F Morgan,414,59.253949999999996,55.82948507523585
Essential,418,60.491,57.64678917612745
F2F Morgan,425,56.3217,52.897235075235855
Newspoll,431,58.0448,57.39843649768223
F2F Morgan,432,60.2062,56.78173507523586
Essential,432,60.1524,57.30818917612745
F2F Morgan,439,58.200149999999994,54.77568507523585
Newspoll,445,57.8417,57.195336497682234
Essential,446,62.3955,59.55128917612745
F2F Morgan,449,61.49705,58.07258507523586
Newspoll,459,56.531,55.88463649768223
F2F Morgan,460,60.0986,56.67413507523585
Essential,460,58.343399999999995,55.499189176127445
F2F Morgan,467,56.2817,52.857235075235856
Newspoll,473,55.9372,55.29083649768223
Essential,474,63.3955,60.55128917612745
F2F Morgan,477,61.9293,58.50483507523585
Nielsen,479,57.7462,58.628503607818956
Newspoll,487,57.8417,57.195336497682234
Essential,489,61.0448,58.20058917612745
F2F Morgan,491,61.0986,57.67413507523585
Newspoll,501,57.3955,56.74913649768223
Essential,502,58.0448,55.20058917612745
F2F Morgan,505,59.10465000000001,55.68018507523586
Newspoll,515,54.8817,54.23533649768223
Essential,516,60.491,57.64678917612745
F2F Morgan,519,60.3955,56.971035075235854
Nielsen,528,52.7062,53.58850360781896
Newspoll,529,56.8417,56.195336497682234
F2F Morgan,530,58.2062,54.78173507523586
Essential,530,59.0448,56.20058917612745
Morgan Phone,534,54.200149999999994,53.79566836592434
F2F Morgan,540,58.5986,55.17413507523585
Newspoll,543,55.0848,54.43843649768223
Galaxy,543,54.5431,54.30712074437973
Essential,545,55.8017,52.957489176127446
Morgan Phone,548,54.3417,53.93721836592435
F2F Morgan,554,57.0786,53.65413507523586
Morgan Phone,555,57.49705,57.09256836592435
Newspoll,557,53.435500000000005,52.789136497682236
Essential,558,57.0448,54.20058917612745
F2F Morgan,565,58.38178647293025,54.95732154816611
Nielsen,570,53.6854,54.567703607818956
Newspoll,571,59.59024813311947,58.943884630801705
Galaxy,571,55.7012,55.46522074437973
Essential,572,59.8417,56.99748917612745
F2F Morgan,575,62.426223377753274,59.00175845298913
Morgan Phone,575,52.793,52.38851836592435
Newspoll,585,54.9893,54.34293649768223
Essential,586,54.8017,51.957489176127446
F2F Morgan,589,57.3755,53.95103507523586
Newspoll,597,56.3955,55.74913649768223
Essential,600,59.6941,56.84988917612745
F2F Morgan,603,60.49705,57.07258507523586
Morgan Phone,611,57.0431,56.63861836592435
Newspoll,613,56.638600000000004,55.992236497682235
F2F Morgan,617,62.397768249051005,58.97330332428686
Nielsen,619,53.239200000000004,54.12150360781896
Essential,621,58.491,55.64678917612745
F2F Morgan,631,61.07085,57.646385075235855
Essential,636,61.0448,58.20058917612745
Newspoll,641,55.1924,54.54603649768223
F2F Morgan,645,65.5727037654579,62.14823884069376
Nielsen,647,51.239200000000004,52.12150360781896
Essential,649,57.5986,54.75438917612745
Newspoll,655,55.435500000000005,54.789136497682236
F2F Morgan,659,59.753949999999996,56.32948507523585
F2F Morgan,663,56.9155,53.49103507523586
Newspoll,666,58.0848,57.43843649768223
Essential,670,57.0448,54.20058917612745
F2F Morgan,673,63.584851888104126,60.16038696333998
Nielsen,675,53.6854,54.567703607818956
Newspoll,676,58.1924,57.54603649768223
Morgan Phone,680,57.64465,57.24016836592435
Newspoll,683,59.638600000000004,58.992236497682235
Essential,684,59.5986,56.75438917612745
F2F Morgan,687,60.753949999999996,57.32948507523585
Newspoll,697,52.638600000000004,51.992236497682235
F2F Morgan,698,61.793949999999995,58.36948507523585
Essential,698,62.38207348638723,59.53786266251468
Nielsen,703,52.6854,53.567703607818956
F2F Morgan,705,56.0986,52.67413507523585
Morgan Phone,709,52.5448,52.14031836592435
Newspoll,711,55.8817,55.23533649768223
F2F Morgan,712,56.511,53.08653507523586
F2F Morgan,719,58.6186,55.194135075235856
Essential,712,54.6941,51.84988917612745
Newspoll,725,57.1248,56.47843649768223
Nielsen,725,56.029300000000006,56.91160360781896
Essential,727,58.1803,55.33608917612745
Morgan Phone,730,51.921549999999996,51.517068365924345
Newspoll,732,55.435500000000005,54.789136497682236
Morgan Phone,734,52.793949999999995,52.389468365924344
F2F Morgan,736,58.8217,55.397235075235855
Essential,740,57.0448,54.20058917612745
F2F Morgan,755,56.9155,53.49103507523586
F2F Morgan,771,58.6924,55.267935075235854
Morgan Phone,772,54.463249999999995,54.058768365924344
Newspoll,774,54.1248,53.47843649768223
Essential,780,55.8417,52.99748917612745
F2F Morgan,785,56.220150000000004,52.79568507523586
Newspoll,788,56.641664444053426,55.99530094173566
Nielsen,794,49.6854,50.567703607818956
Essential,796,55.638600000000004,52.79438917612745
F2F Morgan,799,57.3955,53.971035075235854
Morgan Phone,800,53.36775,52.96326836592435
Newspoll,802,52.678599999999996,52.03223649768223
F2F Morgan,810,56.0648,52.64033507523585
Newspoll,816,51.734100000000005,51.087736497682236
F2F Morgan,820,58.98740979286814,55.562944868104
Nielsen,822,49.239200000000004,50.12150360781896
Essential,824,55.8417,52.99748917612745
Newspoll,830,51.734100000000005,51.087736497682236
F2F Morgan,834,56.7124,53.28793507523586
Newspoll,844,55.786199999999994,55.139836497682225
Essential,846,55.0848,52.24058917612745
F2F Morgan,848,57.99705,54.57258507523586
F2F Morgan,862,56.009299999999996,52.58483507523585
Nielsen,864,51.786199999999994,52.66850360781895
Newspoll,865,56.4234,55.77703649768223
Essential,866,53.734100000000005,50.889889176127454
F2F Morgan,873,53.8217,50.397235075235855
Newspoll,879,48.4234,47.77703649768223
F2F Morgan,880,54.1186,50.694135075235856
Essential,880,50.32790000000001,47.483689176127456
Morgan Phone,883,49.8955,49.49101836592435
Nielsen,885,51.029300000000006,51.91160360781896
F2F Morgan,887,51.6186,48.194135075235856
Morgan Phone,891,48.16465,47.76016836592435
Newspoll,893,50.2324,49.58603649768223
Galaxy,893,50.2324,49.996420744379726
F2F Morgan,894,50.509299999999996,47.08483507523585
Essential,894,52.0848,49.24058917612745
F2F Morgan,901,53.82,50.395535075235856
Morgan Phone,905,50.509299999999996,50.104818365924345
Newspoll,907,51.42,50.77363649768223
F2F Morgan,908,52.66635,49.24188507523586
Nielsen,913,49.0693,49.95160360781895
F2F Morgan,915,52.2124,48.78793507523586
Essential,915,50.7186,47.87438917612745
F2F Morgan,922,52.029300000000006,48.60483507523586
Newspoll,928,51.515499999999996,50.86913649768223
F2F Morgan,929,53.51535,50.09088507523585
Nielsen,933,54.8138,55.696103607818955
Galaxy,933,52.5431,52.30712074437973
F2F Morgan,929,53.51535,50.09088507523585
Newspoll,935,53.638600000000004,52.992236497682235
Morgan Phone,936,48.8955,48.49101836592435
Essential,937,54.435500000000005,51.591289176127454
F2F Morgan,939,56.64465,53.220185075235854
Galaxy,950,52.4876,52.25162074437973
Nielsen,950,52.136900000000004,53.01920360781896
F2F Morgan,950,53.0631,49.638635075235854
Essential,950,54.5831,51.73888917612745
Galaxy,955,52.9338,52.697820744379726
Newspoll,956,55.2324,54.58603649768223
Galaxy,957,50.339999999999996,50.104020744379724
F2F Morgan,957,55.421549999999996,51.99708507523585
Nielsen,959,53.8938,54.77610360781895
Morgan Phone,960,55.94155,55.53706836592435
Newspoll,963,52.339999999999996,51.69363649768223
