Firm,Day,@TPP,@TPP adj,@TPP reported
Newspoll,1,51.492,52.256,nan
Newspoll,62,51.657,52.421,nan
Newspoll,123,50.822,51.585,nan
Newspoll,185,52.492,53.256,54.0
F2F Morgan,199,57.835,54.875,58.0
F2F Morgan,228,54.552,51.592,55.0
Newspoll,245,50.441,51.205,53.0
Taverner,253,49.943,50.349,nan
F2F Morgan,259,54.564,51.604,55.0
F2F Morgan,289,53.926,50.966,54.5
Newspoll,306,50.822,51.585,54.0
F2F Morgan,320,50.932,47.972,51.5
F2F Morgan,350,54.526,51.566,55.0
Newspoll,367,50.956,51.72,51.0
F2F Morgan,381,51.957,48.997,52.5
F2F Morgan,412,50.74,47.78,51.5
Newspoll,428,46.15,46.914,48.0
F2F Morgan,442,50.227,47.267,50.5
F2F Morgan,473,52.218,49.258,52.5
Newspoll,489,45.531,46.295,46.0
F2F Morgan,503,46.89,43.93,47.5
F2F Morgan,534,51.402,48.442,52.0
Newspoll,551,46.501,47.265,48.0
F2F Morgan,565,50.866,47.906,51.5
F2F Morgan,593,49.233,46.273,49.5
Newspoll,610,49.501,50.265,51.0
F2F Morgan,624,51.821,48.861,52.5
F2F Morgan,654,50.529,47.57,51.0
Newspoll,671,47.687,48.451,49.0
F2F Morgan,685,52.608,49.648,53.0
F2F Morgan,715,52.445,49.486,53.5
Newspoll,732,48.552,49.316,50.0
F2F Morgan,746,56.793,53.833,58.0
F2F Morgan,777,54.422,51.462,55.0
Newspoll,793,50.956,51.72,53.0
F2F Morgan,807,54.839,51.879,55.5
F2F Morgan,838,54.102,51.142,55.0
Newspoll,854,46.306,47.07,48.0
F2F Morgan,868,55.271,52.311,55.5
F2F Morgan,900,54.491,51.531,55.0
Newspoll,916,46.142,46.906,49.0
F2F Morgan,930,49.893,46.933,51.0
F2F Morgan,958,52.46,49.5,53.0
Newspoll,975,46.687,47.451,48.0
F2F Morgan,989,53.756,50.796,54.5
F2F Morgan,1019,53.002,50.042,54.0
Newspoll,1036,50.306,51.07,52.0
F2F Morgan,1050,56.319,53.36,57.0
F2F Morgan,1080,51.651,48.691,52.5
Nielsen,1097,50.245,50.353,51.0
Newspoll,1097,52.1,52.822,55.0
F2F Morgan,1111,58.693,55.778,59.5
Galaxy,1128,44.404,45.28,46.0
F2F Morgan,1142,57.789,54.935,58.5
Newspoll,1158,52.822,53.228,54.0
F2F Morgan,1172,52.224,49.431,53.0
F2F Morgan,1203,54.696,51.967,55.0
Galaxy,1189,50.894,51.864,52.0
Nielsen,1206,48.979,49.452,51.0
Newspoll,1219,51.792,51.924,53.0
F2F Morgan,1233,58.918,56.202,59.5
F2F Morgan,1264,57.714,54.998,58.0
Newspoll,1281,56.822,56.954,59.0
Taverner,1281,51.636,52.34,54.0
Nielsen,1304,55.572,56.059,57.0
Newspoll,1319,53.522,53.655,56.0
Nielsen,1329,53.854,54.34,56.0
Galaxy,1329,50.823,51.824,53.0
Newspoll,1330,54.504,54.637,56.5
