Firm,Day,@TPP,@TPP adj,@TPP reported
F2F Morgan,1,67.261,63.973,67.5
F2F Morgan,62,67.023,63.735,68.5
F2F Morgan,123,64.115,60.827,65.0
Newspoll,137,60.084,61.846,nan
F2F Morgan,184,63.892,60.604,63.0
Newspoll,229,55.208,56.97,nan
F2F Morgan,245,59.513,56.225,60.0
F2F Morgan,307,61.115,57.828,60.5
Newspoll,321,55.304,57.067,nan
F2F Morgan,366,62.961,59.673,64.0
Newspoll,410,57.478,59.241,nan
F2F Morgan,427,63.153,59.865,64.0
F2F Morgan,488,64.686,61.398,65.0
Newspoll,502,56.911,58.674,nan
F2F Morgan,549,61.894,58.607,62.5
Newspoll,594,57.938,59.7,nan
F2F Morgan,610,60.119,56.832,60.5
F2F Morgan,672,61.361,58.074,61.0
Newspoll,686,61.65,63.412,nan
F2F Morgan,731,65.035,61.747,64.5
Newspoll,775,53.646,55.408,nan
F2F Morgan,792,63.392,60.104,63.0
F2F Morgan,853,61.074,58.135,60.5
Newspoll,867,54.747,56.226,nan
F2F Morgan,914,62.474,59.937,62.5
F2F Morgan,956,62.268,59.784,59.5
Newspoll,959,55.829,57.077,nan
F2F Morgan,1020,60.333,57.849,nan
TNS,1020,55.078,55.669,nan
Newspoll,1027,57.326,58.574,60.0
TNS,1028,57.358,57.949,59.0
Newspoll,1041,59.011,60.259,59.0
