Firm,Day,@TPP,@TPP adj,@TPP reported
ResolvePM,373,43.886,43.175,nan
ResolvePM,434,44.592,43.881,nan
ResolvePM,498,46.671,45.961,nan
ResolvePM,557,47.015,46.304,nan
ResolvePM,649,50.703,49.992,nan
ResolvePM,861,60.572,59.699,nan
Essential,867,49.817,50.816,nan
Morgan multi-mode,875,53.527,53.729,53.0
Newspoll2,881,56.171,55.106,54.0
Freshwater,905,53.738,53.63,54.0
Morgan multi-mode,905,55.402,55.8,57.0
ResolvePM,922,54.908,53.792,nan
Morgan multi-mode,936,51.84,52.433,52.0
Morgan multi-mode,966,53.391,54.023,55.0
YouGov,998,56.717,55.502,56.0
Morgan multi-mode,998,51.084,51.716,52.0
ResolvePM,1004,55.249,54.053,nan
Newspoll2,1035,52.809,51.595,52.0
Freshwater,1037,53.95,53.851,53.0
ResolvePM,1038,56.839,55.642,nan
SMS Morgan,1039,53.573,53.329,52.5
SMS Morgan,1053,53.736,53.491,53.5
ResolvePM2,1058,52.342,52.345,52.5
Freshwater,1061,52.882,52.784,53.0
Newspoll2,1062,54.903,53.689,54.5
