Firm,Day,@TPP,@TPP adj,@TPP reported
Advertiser,1,46.829,47.8,46.0
Advertiser,122,47.321,48.292,46.0
Newspoll,141,47.2,46.766,44.0
Advertiser,188,40.179,41.15,40.0
Newspoll,215,48.67,48.236,46.0
Advertiser,255,39.376,40.347,40.0
Advertiser,307,47.167,48.138,46.0
Advertiser,400,50.168,51.139,49.0
Newspoll,415,48.518,48.085,48.0
Newspoll,491,50.179,49.745,48.0
Newspoll,673,45.118,44.685,43.0
Advertiser,686,45.699,46.669,47.0
Newspoll,765,50.69,50.257,49.0
Advertiser,882,39.679,40.65,41.0
Newspoll,885,47.409,46.975,46.0
Newspoll,946,46.409,45.975,44.0
Galaxy,1127,48.279,48.218,46.0
Newspoll,1130,49.288,48.933,47.0
Galaxy,1219,46.448,46.388,45.0
Newspoll,1231,46.858,46.503,46.0
Newspoll,1247,48.988,48.633,47.7
