Firm,Day,ALP TPP,ALP TPP adj
SMS Morgan,1,44.016475227714636,46.50963566313805
SMS Morgan,42,40.216638089605176,42.70979852502859
SMS Morgan,70,41.592523234818316,44.08568367024173
SMS Morgan,112,42.04464555075065,44.537805986174064
SMS Morgan,141,46.128387442223456,48.62154787764687
Newspoll2,143,44.95751748158954,44.81071183154238
Essential,187,45.042435085313215,44.47586813298317
SMS Morgan,184,37.71784138595661,40.21100182138002
Essential,218,44.05010088579367,43.483533933463626
Newspoll2,234,44.2674615833683,44.12065593332114
SMS Morgan,239,37.98492398424554,40.47808441966895
Essential,248,45.466126640775386,44.89955968844534
Essential,279,45.28702980483851,44.72046285250847
SMS Morgan,295,38.91831986383347,41.41148029925688
Essential,310,45.537102953481956,44.97053600115191
Essential,339,44.27335143578434,43.7067844834543
SMS Morgan,351,43.318538557680895,45.81169899310431
Essential,401,48.03011380050574,47.463546848175696
SMS Morgan,406,44.66529398263607,47.158454418059485
Essential,461,47.01122994996965,46.44466299763961
SMS Morgan,498,46.522244304675226,49.01540474009864
Essential,492,47.50442548965823,46.93785853732819
ReachTEL,502,49.025486426584926,49.78074899376174
Newspoll2,509,48.923373357211,48.776567707163835
Essential,523,50.51751426506227,49.950947312732225
SMS Morgan,539,45.53682990983808,48.029990345261496
Essential,553,49.32214234279397,48.755575390463925
Essential,584,47.49800536552855,46.93143841319851
Newspoll2,589,49.38497837596165,49.23817272591449
ReachTEL,600,46.97395287468806,47.72921544186487
Essential,614,50.03475701885008,49.46819006652004
ReachTEL,650,42.75835465452746,43.51361722170427
Essential,676,47.20877997262153,46.642213020291486
Newspoll2,690,48.04291956863391,47.89611391858675
Essential,766,48.5743694326942,48.007802480364155
Essential,827,47.898069300505114,47.33150234817507
Essential,858,48.445060114010374,47.87849316168033
Essential,889,47.75135490442134,47.1847879520913
ReachTEL,908,47.02660000000001,47.78186256717682
Essential,919,51.65636169838846,51.089794746058416
Essential,950,47.48908404868871,46.92251709635867
Essential,980,50.99123663238011,50.424669680050066
Newspoll2,1043,49.312335507105345,49.16552985705818
ReachTEL,1069,46.08251385814303,46.837776425319845
ReachTEL,1258,49.14640000000001,49.90166256717682
Galaxy,1328,51.769792347661046,51.664931196789745
ReachTEL,1329,49.94,50.69526256717681
Newspoll2,1387,49.57879593249729,49.43199028245013
Essential,1404,49.435260213865504,48.86869326153546
ReachTEL,1426,50.135400000000004,50.89066256717682
Newspoll2,1429,51.56151395367751,51.41470830363035
Galaxy,1435,49.808,49.7031388491287
Newspoll2,1439,48.394384076991884,48.24757842694472
