Firm,Day,@TPP,@TPP adj,@TPP reported
Newspoll,1,55.817,55.429,56.0
Newspoll,62,60.6,60.211,60.0
Newspoll,124,55.8,55.411,56.0
Nielsen,148,57.971,57.561,59.0
Newspoll,184,56.8,56.411,58.0
Newspoll,245,54.959,54.571,55.0
Newspoll,306,54.217,53.829,54.0
Newspoll,367,51.748,51.359,51.0
Nielsen,416,55.177,54.767,55.0
Newspoll,428,57.336,56.947,57.0
Newspoll,490,60.33,59.942,60.0
Newspoll,610,55.959,55.571,56.0
Newspoll,671,56.635,56.246,56.0
Newspoll,732,57.748,57.359,57.0
Saulwick,782,59.554,59.001,58.0
Newspoll,793,56.212,55.823,57.0
Nielsen,854,53.959,53.549,53.0
Newspoll,855,53.377,52.988,54.0
Morgan Phone,877,49.28,49.726,49.5
Newspoll,914,51.377,50.992,52.0
Newspoll,975,53.2,52.944,51.0
Morgan Phone,984,50.026,50.199,49.5
Newspoll,1036,55.159,55.02,55.0
Essential,1097,49.649,50.105,50.0
Galaxy,1102,51.125,51.049,51.0
Morgan Phone,1114,52.128,52.119,52.0
Newspoll,1122,52.484,52.345,52.0
Nielsen,1123,53.954,53.593,53.0
Nielsen,1138,53.119,52.758,52.0
Newspoll,1137,50.125,49.986,51.0
Morgan Phone,1144,52.89,52.881,52.5
Galaxy,1145,51.119,51.043,51.0
JWS Research,1148,52.901,52.407,50.1
Galaxy,1151,49.542,49.466,50.0
Morgan Phone,1151,48.671,48.662,49.0
Nielsen,1151,47.959,47.599,48.0
Newspoll,1151,47.748,47.609,48.0
