Firm,Day,ALP TPP,ALP TPP adj
F2F Morgan,1,47.417,45.321744467578256
F2F Morgan,23,49.783,47.687744467578256
F2F Morgan,36,49.725,47.629744467578256
Newspoll,39,47.368,47.52535084388129
F2F Morgan,50,47.129,45.03374446757825
Newspoll,53,44.868,45.02535084388129
F2F Morgan,64,48.033,45.937744467578256
Newspoll,67,47.926,48.08335084388129
F2F Morgan,92,46.917,44.821744467578256
Newspoll,102,47.176,47.33335084388129
F2F Morgan,106,48.542,46.446744467578256
Newspoll,116,45.926,46.08335084388129
F2F Morgan,120,48.629,46.53374446757825
Newspoll,130,46.926,47.08335084388129
F2F Morgan,134,47.975,45.879744467578256
Newspoll,144,45.926,46.08335084388129
F2F Morgan,145,51.187,49.09174446757825
F2F Morgan,152,48.937,46.84174446757825
Newspoll,158,45.81,45.96735084388129
F2F Morgan,162,49.542,47.446744467578256
Newspoll,172,50.002,50.15935084388129
F2F Morgan,176,53.321,51.22574446757825
Newspoll,186,48.002,48.15935084388129
F2F Morgan,190,51.167,49.071744467578256
Newspoll,200,47.368,47.52535084388129
F2F Morgan,204,52.379,50.28374446757825
Newspoll,214,48.926,49.08335084388129
F2F Morgan,215,51.1,49.004744467578256
F2F Morgan,225,48.917,46.821744467578256
Newspoll,228,46.002,46.15935084388129
F2F Morgan,239,49.859,47.763744467578256
Newspoll,249,48.06,48.21735084388129
F2F Morgan,253,51.071,48.97574446757825
Newspoll,263,48.81,48.96735084388129
F2F Morgan,267,50.859,48.763744467578256
Newspoll,277,48.002,48.15935084388129
Newspoll,291,51.176,51.33335084388129
F2F Morgan,295,52.138000000000005,50.04274446757826
Newspoll,305,48.81,48.96735084388129
F2F Morgan,309,53.147,51.05174446757825
Newspoll,319,50.252,50.40935084388129
F2F Morgan,323,48.609,46.513744467578256
Newspoll,333,50.502,50.65935084388129
F2F Morgan,334,52.56,50.46474446757826
F2F Morgan,341,47.763,45.66774446757825
Newspoll,347,46.752,46.90935084388129
F2F Morgan,351,50.513,48.41774446757825
Newspoll,361,48.502,48.65935084388129
F2F Morgan,365,53.292,51.196744467578256
Newspoll,375,53.56,53.71735084388129
F2F Morgan,379,53.417,51.321744467578256
Newspoll,389,50.868,51.02535084388129
F2F Morgan,390,54.754000000000005,52.65874446757826
F2F Morgan,396,49.571,47.47574446757825
Newspoll,403,53.06,53.21735084388129
F2F Morgan,407,57.292,55.196744467578256
Newspoll,417,53.136,53.29335084388129
F2F Morgan,421,54.379,52.28374446757825
Newspoll,431,50.502,50.65935084388129
F2F Morgan,432,52.725,50.629744467578256
F2F Morgan,456,53.984,51.888744467578256
Newspoll,459,47.618,47.77535084388129
F2F Morgan,470,50.051,47.955744467578256
Newspoll,473,47.502,47.65935084388129
F2F Morgan,481,52.763,50.66774446757825
Newspoll,487,49.77,49.92735084388129
F2F Morgan,491,52.147,50.05174446757825
Newspoll,501,50.502,50.65935084388129
F2F Morgan,505,50.263,48.16774446757825
Newspoll,515,46.136,46.29335084388129
F2F Morgan,519,49.446000000000005,47.35074446757826
Newspoll,529,51.078,51.23535084388129
F2F Morgan,533,54.263,52.16774446757825
Newspoll,543,50.502,50.65935084388129
F2F Morgan,547,54.196000000000005,52.10074446757826
F2F Morgan,561,51.493,49.397744467578256
