Firm,Day,@TPP,@TPP adj,@TPP reported
Newspoll,1,46.7,46.378,nan
Newspoll,93,45.658,45.336,nan
F2F Morgan,139,44.011,43.952,44.0
Newspoll,183,43.663,43.34,nan
F2F Morgan,188,43.77,43.711,44.5
Newspoll,275,46.212,45.89,nan
Newspoll,367,47.132,46.81,nan
Newspoll,459,51.328,51.005,nan
Newspoll,548,49.674,49.352,nan
Newspoll,640,49.113,48.791,nan
Newspoll,732,52.36,52.053,nan
Newspoll,824,50.722,50.458,nan
Morgan Phone,864,50.66,50.33,52.0
Newspoll,913,50.722,50.458,nan
Newspoll,928,55.077,54.813,nan
Morgan Phone,936,55.671,55.34,54.0
Morgan Phone,940,53.975,53.645,51.5
Newspoll,940,54.256,53.992,53.0
Nielsen,940,53.386,53.359,nan
