Firm,Day,@TPP,@TPP adj,@TPP reported
Essential,1,49.739,49.984,51.0
Morgan multi-mode,12,48.401,48.068,47.5
Essential,15,48.679,48.924,48.0
Morgan multi-mode,26,50.209,49.876,50.5
ReachTEL,30,47.567,47.555,47.9
Essential,29,48.039,48.284,47.0
Morgan multi-mode,40,48.539,48.207,48.5
Newspoll,46,45.039,45.258,44.0
Essential,43,47.909,48.154,47.0
Morgan multi-mode,54,49.924,49.591,50.0
Newspoll,60,47.23,47.449,47.0
Essential,57,48.209,48.454,47.0
Morgan multi-mode,68,49.924,49.591,49.0
ReachTEL,72,48.166,48.154,49.0
Nielsen,73,51.4,51.298,52.0
Newspoll,74,49.039,49.258,48.0
Essential,71,48.379,48.624,48.0
Morgan multi-mode,82,51.059,50.726,51.5
Essential,85,48.548,48.793,49.0
Newspoll,92,52.4,52.619,52.0
ReachTEL,96,51.938,51.926,52.0
Morgan multi-mode,92,52.02,51.687,52.5
Morgan multi-mode,120,53.689,53.357,53.0
Essential,124,48.951,49.196,49.0
ReachTEL,135,53.188,53.176,53.0
Morgan multi-mode,134,52.285,51.952,53.0
Essential,134,49.679,49.924,50.0
Morgan multi-mode,148,51.455,51.122,52.0
Newspoll,151,50.7,50.919,51.0
Essential,148,50.439,50.684,50.0
Nielsen,157,48.23,48.129,48.0
Newspoll,165,53.039,53.258,54.0
Essential,162,51.228,51.473,51.0
Morgan multi-mode,162,50.424,50.091,50.5
ReachTEL,170,52.715,52.703,53.0
Morgan multi-mode,176,52.465,52.132,52.5
Newspoll,179,50.339,50.558,51.0
Essential,176,50.379,50.624,50.0
Nielsen,185,49.185,49.084,49.0
Newspoll,193,52.061,52.279,52.0
Essential,190,49.248,49.493,49.0
Morgan multi-mode,190,53.323,52.99,53.5
Galaxy,200,50.1,49.952,50.0
Newspoll,207,48.87,49.088,49.0
Morgan multi-mode,204,51.609,51.276,51.5
Essential,204,50.57,50.815,51.0
Nielsen,213,52.442,52.341,52.0
Morgan multi-mode,218,51.705,51.372,52.0
Essential,218,51.4,51.645,51.0
Morgan multi-mode,232,53.405,53.072,53.5
Essential,232,51.99,52.235,52.0
ReachTEL,235,53.837,53.825,54.0
Newspoll,235,52.3,52.519,53.0
Galaxy,234,52.339,52.192,52.0
ReachTEL,240,54.215,54.203,54.0
Galaxy,247,52.979,52.831,53.0
Nielsen,248,56.891,56.789,56.0
Newspoll,249,54.279,54.498,55.0
Morgan multi-mode,250,54.867,54.535,56.5
Essential,246,52.379,52.624,52.0
Morgan multi-mode,260,54.748,54.416,55.0
Newspoll,262,54.109,54.328,54.0
Essential,260,53.509,53.754,53.0
Morgan Phone,267,52.585,52.914,53.5
