Firm,Day,@TPP,@TPP adj,@TPP reported
TNS,1,54.028,54.199,55.0
Galaxy,48,54.349,54.827,54.0
F2F Morgan,63,60.974,59.81,60.5
Newspoll,228,60.969,60.464,61.0
Galaxy,251,55.39,55.868,57.0
Newspoll,320,59.214,58.709,59.0
Newspoll,332,58.325,57.82,58.0
Galaxy,356,56.116,56.594,57.0
Newspoll,412,58.185,57.68,59.0
Galaxy,468,54.046,54.524,55.0
Newspoll,504,60.053,59.548,60.0
Galaxy,516,61.18,61.658,61.0
Newspoll,594,53.092,52.587,55.0
Galaxy,629,50.897,51.375,52.0
Galaxy,672,53.313,53.753,53.0
Newspoll,686,52.954,52.466,51.0
Galaxy,730,51.649,51.869,52.0
Newspoll,778,54.569,54.145,57.0
Newspoll,856,49.576,49.154,53.0
Galaxy,880,49.729,49.752,50.0
Galaxy,882,48.649,48.672,49.0
Newspoll,887,49.155,48.733,49.0
Galaxy,895,48.665,48.688,49.0
Newspoll,902,49.963,49.542,49.9
