Firm,Day,@TPP,@TPP adj,@TPP reported
F2F Morgan,1,47.417,45.671,47.5
F2F Morgan,23,49.783,48.037,49.5
F2F Morgan,36,49.725,47.979,49.5
Newspoll,39,47.368,47.9,47.0
F2F Morgan,50,47.129,45.383,47.0
Newspoll,53,44.868,45.4,45.0
F2F Morgan,64,48.033,46.287,47.5
Newspoll,67,47.926,48.458,48.0
F2F Morgan,92,46.917,45.171,47.0
Nielsen,102,43.227,42.544,43.0
Newspoll,102,47.176,47.708,47.0
F2F Morgan,106,48.542,46.796,48.5
Newspoll,116,45.926,46.458,46.0
F2F Morgan,120,48.629,46.883,48.0
Nielsen,123,46.934,46.251,48.0
Newspoll,130,46.926,47.458,47.0
F2F Morgan,134,48.216,46.47,48.0
Newspoll,144,47.343,47.875,48.0
F2F Morgan,145,51.187,49.441,52.0
Nielsen,151,51.966,51.283,52.0
F2F Morgan,152,48.937,47.191,48.0
Newspoll,158,45.81,46.342,46.0
F2F Morgan,162,49.542,47.796,49.5
Newspoll,172,50.002,50.534,51.0
F2F Morgan,176,53.321,51.575,53.0
Nielsen,179,50.652,49.97,52.0
Newspoll,186,48.002,48.534,49.0
F2F Morgan,190,51.167,49.421,51.0
Newspoll,200,47.368,47.9,48.0
F2F Morgan,204,52.379,50.633,52.0
Nielsen,207,50.652,49.97,51.0
Newspoll,214,48.926,49.458,49.0
F2F Morgan,215,51.1,49.354,50.5
F2F Morgan,225,48.917,47.171,48.5
Newspoll,228,46.002,46.534,47.0
Nielsen,235,49.3,48.617,49.0
F2F Morgan,239,49.859,48.113,50.0
Newspoll,249,48.06,48.592,49.0
F2F Morgan,253,51.071,49.325,50.5
Nielsen,263,53.247,52.565,54.0
Newspoll,263,48.81,49.342,50.0
F2F Morgan,267,50.859,49.113,51.0
Newspoll,277,48.002,48.534,49.0
Nielsen,291,50.462,49.779,52.0
Newspoll,291,51.176,51.708,51.0
F2F Morgan,295,52.138,50.392,48.5
Newspoll,305,47.282,47.814,48.0
F2F Morgan,309,53.147,51.401,53.5
Nielsen,319,48.6,47.917,50.0
Newspoll,319,50.252,50.784,51.0
F2F Morgan,323,48.609,46.863,48.5
Newspoll,333,50.502,51.034,51.0
F2F Morgan,334,52.56,50.814,53.0
F2F Morgan,341,47.763,46.017,47.5
Nielsen,347,48.443,47.76,49.0
Newspoll,347,46.752,47.284,47.0
F2F Morgan,351,50.513,48.767,50.5
Newspoll,361,48.502,49.034,49.0
F2F Morgan,365,53.292,51.546,53.0
Nielsen,375,49.09,48.407,52.0
Newspoll,375,53.56,54.092,54.0
F2F Morgan,379,53.417,51.671,53.0
Newspoll,389,50.868,51.4,51.0
F2F Morgan,390,54.754,53.008,54.0
F2F Morgan,396,49.571,47.825,49.0
Nielsen,403,55.488,54.805,58.0
Newspoll,403,53.06,53.592,54.0
F2F Morgan,407,57.292,55.546,57.0
Newspoll,417,53.136,53.668,54.0
F2F Morgan,421,54.379,52.633,54.0
Nielsen,431,52.484,51.801,55.0
Newspoll,431,50.502,51.034,51.0
F2F Morgan,432,52.725,50.979,52.0
F2F Morgan,456,53.984,52.238,54.0
Newspoll,459,47.618,48.15,48.0
F2F Morgan,470,50.051,48.305,50.0
Nielsen,473,49.512,48.829,49.0
Newspoll,473,47.502,48.034,48.0
F2F Morgan,481,52.763,51.017,52.5
Newspoll,487,49.77,50.302,51.0
F2F Morgan,491,52.147,50.401,52.5
Nielsen,501,51.571,50.888,52.0
Newspoll,501,50.502,51.034,51.0
F2F Morgan,505,50.263,48.517,50.0
Newspoll,515,46.136,46.668,47.0
F2F Morgan,519,49.446,47.7,49.0
Nielsen,529,48.914,48.231,50.0
Newspoll,529,51.078,51.61,53.0
F2F Morgan,533,54.263,52.517,54.0
Newspoll,543,50.502,51.034,52.0
F2F Morgan,547,54.196,52.45,54.0
Nielsen,557,50.1,49.417,51.0
F2F Morgan,561,51.493,49.747,51.5
Newspoll,564,48.944,49.476,49.0
F2F Morgan,572,53.975,52.229,53.5
Newspoll,578,49.252,49.784,50.0
F2F Morgan,579,50.897,49.151,51.0
Nielsen,584,52.524,51.841,54.0
F2F Morgan,589,51.359,49.613,51.5
Newspoll,592,50.944,51.476,52.0
F2F Morgan,603,53.205,51.459,53.0
Nielsen,612,50.292,49.609,51.0
Newspoll,613,48.618,49.15,49.0
F2F Morgan,617,51.446,49.7,51.0
Newspoll,627,51.328,51.86,53.0
F2F Morgan,631,53.888,52.142,53.5
Nielsen,640,51.684,51.001,52.0
Newspoll,641,51.002,51.534,52.0
F2F Morgan,642,47.555,45.809,48.0
F2F Morgan,652,52.984,51.238,53.5
Newspoll,655,49.444,49.976,50.0
Newspoll,662,51.176,51.708,51.0
F2F Morgan,666,52.667,50.921,53.0
Nielsen,668,51.833,51.15,53.0
Newspoll,669,48.06,48.592,49.0
F2F Morgan,680,53.705,51.959,54.0
Newspoll,683,50.118,50.65,51.0
F2F Morgan,694,54.792,53.046,55.0
Nielsen,696,51.158,50.475,52.0
Newspoll,697,52.136,52.668,53.0
F2F Morgan,708,52.042,50.296,53.0
Newspoll,711,51.81,52.342,53.0
F2F Morgan,722,53.975,52.229,54.5
Nielsen,724,53.792,53.109,54.0
Newspoll,732,51.252,51.784,52.0
F2F Morgan,736,52.667,50.921,53.0
Newspoll,746,51.176,51.708,52.0
F2F Morgan,750,51.85,50.104,52.5
Nielsen,752,52.966,52.283,52.0
Newspoll,760,50.118,50.65,50.0
F2F Morgan,764,52.658,50.912,53.0
Newspoll,774,50.502,51.034,51.0
F2F Morgan,778,52.129,50.383,52.5
Nielsen,780,54.433,53.75,56.0
Newspoll,787,54.176,54.708,55.0
F2F Morgan,789,59.513,57.767,59.0
F2F Morgan,796,58.513,56.767,59.0
F2F Morgan,820,57.321,55.575,57.5
Newspoll,830,54.176,54.708,55.0
F2F Morgan,834,54.08,52.334,54.5
Newspoll,844,55.56,56.092,56.0
