Firm,Day,@TPP,@TPP adj,@TPP reported
Newspoll2,1,52.034,52.089,52.0
Newspoll2,126,50.448,50.503,50.0
ResolvePM,233,52.868,52.494,nan
Newspoll2,287,49.931,49.986,50.0
ResolvePM,373,52.988,52.614,nan
Newspoll2,405,49.126,49.181,49.0
Freshwater,495,48.595,48.527,48.0
ResolvePM,495,48.5,48.126,nan
Redbridge,557,44.756,45.48,45.0
YouGov2,606,48.436,48.71,48.0
ResolvePM,618,50.178,49.805,nan
uComms,660,49.978,48.595,48.0
uComms,669,50.907,49.525,49.0
uComms,729,50.666,49.284,50.0
Newspoll,748,46.267,46.314,46.0
uComms,784,47.714,46.358,nan
YouGov2,782,44.195,44.543,44.0
ResolvePM,774,43.603,43.491,nan
Redbridge,770,42.525,43.112,43.0
uComms,813,50.451,49.111,nan
YouGov2,872,43.392,43.859,43.0
Wolf&Smith,909,42.517,42.869,43.0
ResolvePM,880,41.166,41.618,nan
Redbridge,866,44.964,45.204,45.5
Newspoll,937,45.916,45.811,45.0
Freshwater,950,45.466,45.495,44.0
YouGov2,965,46.241,46.708,45.5
ResolvePM,969,47.503,47.365,47.0
Newspoll,973,47.215,47.11,47.5
uComms,976,49.551,48.234,49.0
