Firm,Day,@TPP,@TPP adj,@TPP reported
Saulwick,1,43.362,45.246,nan
Newspoll,4,44.612,44.059,nan
F2F Morgan,18,51.612,50.312,nan
Saulwick,35,49.758,51.642,nan
F2F Morgan,45,48.163,46.863,nan
Saulwick,92,48.367,50.251,nan
Newspoll,96,42.51,41.957,nan
Saulwick,154,50.061,51.945,nan
Newspoll,155,53.857,53.304,nan
Newspoll,216,49.959,49.406,nan
Newspoll,277,43.408,42.855,nan
Saulwick,273,45.714,47.598,nan
Saulwick,335,38.533,40.417,nan
Newspoll,338,43.612,43.059,nan
Saulwick,364,37.163,39.047,nan
Newspoll,399,44.51,43.957,nan
Saulwick,401,39.967,41.852,nan
Newspoll,461,48.51,47.957,nan
Saulwick,463,40.714,42.598,nan
Saulwick,490,41.163,43.047,nan
Newspoll,520,45.51,44.957,nan
Saulwick,524,38.612,40.496,nan
Saulwick,546,40.061,41.945,nan
Newspoll,581,44.408,43.855,nan
Saulwick,590,39.612,41.496,41.0
Saulwick,609,36.612,38.496,37.0
Newspoll,642,42.959,42.406,nan
Saulwick,636,41.061,42.945,43.0
Saulwick,671,42.347,44.231,45.0
Saulwick,686,46.816,48.7,48.0
Newspoll,703,46.857,46.304,nan
Saulwick,707,42.061,43.945,42.0
AGB McNair,712,51.51,51.643,nan
Newspoll,764,48.959,48.406,nan
Newspoll,826,44.959,44.406,nan
AGB McNair,829,44.788,44.921,nan
AGB McNair,857,42.921,43.054,nan
Newspoll,885,46.51,45.957,nan
AGB McNair,886,44.069,44.202,nan
AGB McNair,924,42.478,42.611,nan
AGB McNair,941,43.845,43.978,nan
Newspoll,946,45.061,44.508,nan
AGB McNair,965,44.857,44.99,nan
AGB McNair,997,38.959,39.092,nan
Newspoll,1007,47.061,46.508,nan
AGB McNair,1022,45.959,46.098,nan
Quadrant,1047,46.51,45.753,nan
AGB McNair,1053,44.51,44.663,nan
Newspoll,1068,44.959,44.544,nan
AGB McNair,1081,44.51,44.675,nan
F2F Morgan,1106,47.737,46.52,48.5
AGB McNair,1109,45.959,46.136,nan
Newspoll,1129,47.061,46.783,nan
F2F Morgan,1134,49.079,47.882,50.0
AGB McNair,1143,45.959,46.143,nan
Newspoll,1191,44.061,43.783,nan
AGB McNair,1179,43.959,44.143,45.0
AGB McNair,1207,43.12,43.305,45.0
AGB McNair,1225,44.898,45.082,49.0
AGB McNair,1239,43.845,44.03,45.0
Quadrant,1246,44.755,43.924,45.0
AGB McNair,1246,41.959,42.143,42.0
Newspoll,1247,43.306,43.028,nan
