Firm,Day,@TPP,@TPP adj,@TPP reported
ResolvePM,1,58.005,57.708,nan
ResolvePM,60,57.684,57.388,nan
SMS Morgan,109,59.141,59.042,61.5
ResolvePM,121,60.691,60.394,nan
SMS Morgan,170,51.126,51.027,53.0
ResolvePM,182,58.02,57.724,nan
Redbridge,227,54.046,54.336,56.5
ResolvePM,243,55.705,55.409,nan
ResolvePM,304,54.907,54.611,nan
Redbridge,318,53.038,53.328,55.8
Redbridge,411,50.541,50.831,54.0
ResolvePM,402,51.478,51.182,nan
ResolvePM,458,48.436,48.139,nan
Redbridge,426,51.339,51.629,55.0
ResolvePM,514,48.053,47.756,nan
Redbridge,544,47.628,47.918,50.0
Wolf&Smith,565,46.741,46.894,48.0
ResolvePM,567,47.71,47.414,nan
Redbridge,608,47.078,47.367,49.0
Redbridge,663,46.199,46.489,49.0
ResolvePM,715,42.26,41.964,nan
DemosAU,778,45.77,46.609,48.0
ResolvePM,760,43.994,43.697,nan
Redbridge,791,46.122,46.412,49.0
Newspoll3,878,51.407,50.922,53.0
Redbridge,876,49.574,49.864,51.5
ResolvePM,913,50.625,50.329,nan
Redbridge,953,48.633,48.922,52.0
DemosAU,949,45.79,46.629,49.0
ResolvePM,944,49.36,49.063,nan
DemosAU,997,45.778,46.618,49.0
Newspoll3,1023,46.739,46.255,49.0
Freshwater,1027,47.549,47.085,50.0
ResolvePM,1005,44.738,44.442,nan
Redbridge,1035,45.522,45.811,50.0
DemosAU,1102,46.556,47.45,47.0
ResolvePM,1093,50.003,49.695,nan
SMS Morgan,1111,49.722,49.364,52.0
Freshwater,1117,48.95,48.702,50.0
Redbridge,1119,46.697,46.922,48.0
Freshwater,1145,48.004,47.845,48.0
ResolvePM,1155,46.952,46.627,nan
SMS Morgan,1178,48.966,48.366,51.0
Freshwater,1223,46.264,46.181,47.0
DemosAU,1225,44.573,45.538,45.0
ResolvePM,1217,47.863,47.534,nan
Redbridge,1239,47.477,47.656,46.0
ResolvePM,1252,48.353,48.024,nan
Newspoll3,1271,47.93,47.545,nan
Redbridge,1276,45.499,45.678,43.0
Freshwater,1279,46.486,46.404,48.0
SMS Morgan,1283,48.145,47.546,49.0
YouGov2,1244,46.667,46.702,46.2
DemosAU,1285,44.187,45.152,45.0
ResolvePM,1289,47.1,46.772,nan
