Firm,Day,@TPP,@TPP adj,@TPP reported
Dynata,1,55.145,55.355,53.0
Wolf&Smith,703,59.23,59.255,60.0
DemosAU,890,58.37,58.975,59.0
YouGov2,980,67.875,67.101,67.0
DemosAU,1122,65.055,65.306,66.0
Fox & Hedgehog,1172,61.633,62.191,61.0
Fox & Hedgehog,1238,61.257,61.815,61.0
YouGov2,1246,59.315,60.338,59.0
Newspoll3,1248,65.274,63.883,nan
DemosAU,1242,63.419,63.519,nan
SMS Morgan,1255,58.576,59.56,61.0
Fox & Hedgehog,1273,60.237,60.795,60.0
YouGov2,1275,59.98,61.003,59.0
DemosAU,1277,59.96,60.06,nan
Newspoll3,1277,62.457,61.067,nan
