Firm,Day,@TPP,@TPP adj,@TPP reported
F2F Morgan,1,58.876,54.978,57.5
Westpoll,3,48.378,48.235,nan
Westpoll,33,45.233,45.09,nan
F2F Morgan,62,53.745,49.847,52.5
Westpoll,62,48.848,48.705,nan
Westpoll,96,49.31,49.168,nan
F2F Morgan,123,53.776,49.878,53.0
Westpoll,124,49.2,49.057,nan
Westpoll,160,50.418,50.275,nan
F2F Morgan,184,54.375,50.477,52.5
Westpoll,188,51.515,51.373,nan
Newspoll,229,47.878,49.138,48.0
F2F Morgan,245,56.173,52.275,54.5
F2F Morgan,307,57.938,54.04,56.5
Newspoll,321,53.483,54.744,53.0
F2F Morgan,366,54.799,50.901,54.0
Westpoll,372,58.372,58.229,58.0
Westpoll,397,55.677,55.534,nan
Newspoll,410,51.584,52.845,52.0
F2F Morgan,427,56.635,52.736,55.5
Westpoll,433,54.578,54.435,nan
Westpoll,471,54.002,53.859,nan
F2F Morgan,488,58.014,54.116,56.5
Newspoll,502,52.286,53.546,52.0
Westpoll,494,53.808,53.665,nan
Westpoll,533,55.174,55.031,nan
F2F Morgan,549,56.608,52.709,55.0
Westpoll,552,49.53,49.388,nan
Westpoll,586,51.354,51.211,nan
Newspoll,594,49.479,50.739,49.0
Westpoll,588,45.922,45.779,nan
F2F Morgan,610,58.121,54.223,55.0
Westpoll,615,51.917,51.774,52.0
Westpoll,657,52.874,52.732,51.2
Newspoll,686,52.523,53.784,51.0
Westpoll,686,56.032,55.889,55.0
Westpoll,714,50.226,50.083,51.2
Westpoll,734,52.38,52.238,54.5
Newspoll,775,54.987,56.248,54.0
Westpoll,798,53.203,53.06,52.3
Westpoll,824,56.147,56.004,56.3
Newspoll,867,52.155,53.415,51.0
Westpoll,859,64.282,64.139,62.0
Westpoll,887,58.79,58.648,58.4
Westpoll,928,60.653,60.511,56.6
Newspoll,959,49.699,50.959,49.0
Westpoll,989,49.651,49.508,48.0
Westpoll,1027,60.538,60.454,58.0
Newspoll,1051,55.282,56.117,53.0
Newspoll,1142,57.52,57.503,54.0
Westpoll,1141,55.605,55.906,54.0
Westpoll,1211,49.159,49.46,49.0
Westpoll,1229,49.148,49.449,50.2
Newspoll,1230,52.896,52.88,51.0
Galaxy,1246,51.099,51.2,49.0
Westpoll,1246,52.996,53.297,54.0
Newspoll,1252,49.325,49.308,50.0
Westpoll,1251,50.197,50.498,51.0
