Firm,Day,@TPP,@TPP adj,@TPP reported
Newspoll,1,43.84,44.912,nan
Newspoll,93,44.32,45.392,nan
Newspoll,185,44.4,45.472,nan
Newspoll,277,48.36,49.432,nan
Newspoll,366,47.8,48.872,nan
F2F Morgan,446,51.101,50.157,53.5
Newspoll,458,49.8,50.872,nan
F2F Morgan,505,51.005,50.061,52.0
Newspoll,550,47.92,48.992,nan
F2F Morgan,560,51.75,50.806,54.5
F2F Morgan,630,50.363,49.418,53.0
Newspoll,642,46.44,47.512,nan
F2F Morgan,687,50.438,49.493,52.5
Newspoll,731,48.4,49.472,nan
F2F Morgan,746,50.333,49.389,52.0
F2F Morgan,809,49.604,48.66,51.0
Newspoll,823,49.36,50.432,nan
F2F Morgan,870,50.611,49.666,51.0
Newspoll,915,51.429,52.501,nan
F2F Morgan,931,52.153,51.209,54.5
F2F Morgan,993,55.188,54.243,58.0
Westpoll,997,58.99,58.403,nan
Newspoll,1007,50.04,51.113,nan
Westpoll,1026,53.434,52.847,nan
F2F Morgan,1053,52.366,51.422,52.5
Westpoll,1057,53.34,52.753,nan
Westpoll,1091,49.838,49.252,nan
Newspoll,1097,48.469,49.542,nan
F2F Morgan,1114,54.964,54.019,57.5
Westpoll,1120,56.592,56.005,nan
Westpoll,1148,50.294,49.752,nan
F2F Morgan,1175,52.938,52.214,56.0
Newspoll,1189,51.072,51.93,nan
F2F Morgan,1236,49.541,49.083,52.0
Westpoll,1240,53.5,53.147,nan
Westpoll,1274,55.888,55.547,55.0
Newspoll,1281,49.642,50.313,nan
F2F Morgan,1297,55.161,54.748,56.0
Westpoll,1343,46.763,46.422,48.0
Westpoll,1359,52.881,52.54,nan
Newspoll,1366,50.355,51.026,49.5
