Firm,Day,@TPP,@TPP adj,@TPP reported
F2F Morgan,1,60.947,58.223,61.5
Nielsen,21,60.947,58.905,61.0
F2F Morgan,32,59.348,56.625,59.5
F2F Morgan,63,59.678,56.954,59.5
Nielsen,82,59.622,57.58,60.0
F2F Morgan,93,58.708,55.985,58.5
Newspoll,110,54.345,58.025,nan
F2F Morgan,124,58.147,55.424,59.0
Nielsen,151,61.22,59.178,61.0
F2F Morgan,155,59.389,56.665,60.0
Newspoll,171,51.725,55.406,nan
F2F Morgan,185,57.996,55.273,58.0
F2F Morgan,216,56.51,53.787,57.5
Newspoll,232,54.252,57.932,nan
Nielsen,237,56.361,54.319,55.0
F2F Morgan,246,60.632,57.908,61.0
F2F Morgan,277,60.086,57.362,61.0
Newspoll,294,53.379,57.059,nan
F2F Morgan,308,59.124,56.401,59.5
Nielsen,327,59.595,57.553,59.0
F2F Morgan,337,61.592,58.869,62.0
Newspoll,354,52.326,56.007,nan
F2F Morgan,368,61.925,59.202,62.5
F2F Morgan,398,59.336,56.612,59.5
Newspoll,415,55.484,59.164,nan
F2F Morgan,429,62.339,59.616,63.0
F2F Morgan,459,60.632,57.908,61.0
Nielsen,473,60.67,58.628,61.0
Newspoll,476,51.725,55.406,nan
F2F Morgan,490,59.234,56.511,60.0
F2F Morgan,521,59.583,56.859,61.0
Newspoll,537,54.988,58.668,nan
Nielsen,550,59.903,57.861,60.0
F2F Morgan,551,62.943,60.22,63.0
F2F Morgan,582,63.738,61.015,63.5
Newspoll,598,51.725,55.406,nan
F2F Morgan,612,61.221,58.497,62.0
F2F Morgan,643,60.238,57.514,61.0
Newspoll,660,55.011,58.691,nan
F2F Morgan,674,62.056,59.332,64.0
Nielsen,699,63.078,61.035,62.0
F2F Morgan,702,65.569,62.845,65.5
Newspoll,719,56.197,59.877,nan
F2F Morgan,733,63.695,60.972,65.0
F2F Morgan,763,62.805,60.082,64.0
Newspoll,780,58.409,62.089,nan
F2F Morgan,794,62.562,59.839,63.0
F2F Morgan,824,58.075,55.352,58.5
Newspoll,841,49.678,53.358,nan
F2F Morgan,855,58.777,56.054,59.0
Nielsen,862,58.849,56.807,58.0
F2F Morgan,886,58.29,55.567,59.0
Newspoll,902,48.998,52.678,nan
F2F Morgan,916,56.832,54.108,57.5
F2F Morgan,947,59.246,56.522,60.0
Newspoll,963,47.153,50.833,nan
F2F Morgan,977,51.048,48.324,52.5
F2F Morgan,1008,58.43,55.707,59.5
Newspoll,1025,50.509,54.19,nan
F2F Morgan,1039,54.082,51.358,56.0
F2F Morgan,1067,56.912,54.189,58.0
Newspoll,1084,53.977,57.657,nan
F2F Morgan,1098,54.371,51.648,55.5
F2F Morgan,1128,58.044,55.321,59.0
Newspoll,1145,49.547,53.227,nan
F2F Morgan,1159,60.07,57.347,60.5
F2F Morgan,1189,55.792,53.068,56.5
Newspoll,1206,51.687,55.225,nan
F2F Morgan,1220,59.816,57.043,60.5
F2F Morgan,1251,57.284,54.438,58.0
Newspoll,1267,51.742,54.182,nan
F2F Morgan,1281,57.507,54.594,59.0
F2F Morgan,1312,57.876,54.896,57.5
Newspoll,1328,52.864,54.418,nan
F2F Morgan,1342,59.357,56.363,60.0
F2F Morgan,1373,62.17,59.176,63.5
Newspoll,1390,54.072,55.626,nan
F2F Morgan,1404,60.892,57.898,62.0
Nielsen,1415,52.672,54.16,54.0
Nielsen,1423,55.386,56.874,58.0
Newspoll,1426,55.968,57.522,nan
Morgan Phone,1430,58.011,58.126,62.0
Nielsen,1430,55.072,56.561,56.0
Nielsen,1437,55.69,57.178,58.0
Newspoll,1437,58.0,59.554,60.5
