Firm,Day,@TPP,@TPP adj,@TPP reported
Westpoll,60,44.198,44.685,44.0
Westpoll,128,42.233,42.72,44.0
Newspoll,159,47.332,45.956,45.0
Westpoll,176,42.788,43.275,43.0
Westpoll,273,40.0,40.487,41.0
Westpoll,340,47.968,48.455,nan
Westpoll,401,46.512,46.999,47.0
Westpoll,500,44.093,44.579,43.0
Newspoll,524,49.671,48.296,47.0
Newspoll,614,49.342,47.967,46.0
Newspoll,706,46.152,44.776,43.0
Newspoll,797,44.321,42.946,42.0
Newspoll,889,44.491,43.115,43.0
Newspoll,978,57.491,56.115,43.0
Newspoll,1071,44.791,43.415,43.0
Newspoll,1163,43.391,42.015,41.0
Westpoll,1228,41.052,41.538,41.0
Newspoll,1254,48.661,47.285,47.0
Morgan Phone,1331,38.18,38.533,37.5
Westpoll,1401,45.5,45.982,46.0
Morgan Phone,1418,42.154,42.441,40.0
Newspoll,1437,44.911,43.84,43.0
Newspoll,1529,44.491,44.078,42.0
Westpoll,1591,40.902,41.125,41.0
Newspoll,1611,44.761,44.348,43.0
Galaxy,1625,45.641,45.06,44.0
Newspoll,1639,41.761,41.348,40.5
