2022,fed,LNP FP,41.44
2022,fed,ALP FP,33.34
2022,fed,GRN FP,10.4
2022,fed,ONP FP,3.08
2022,fed,UAP FP,3.43
2022,fed,OTH FP,14.82
2019,fed,LNP FP,42.04
2019,fed,ALP FP,34.73
2019,fed,GRN FP,10.23
2019,fed,OTH FP,13.0
2016,fed,LNP FP,45.55
2016,fed,ALP FP,33.38
2016,fed,GRN FP,8.65
2016,fed,UAP FP,5.49
2016,fed,OTH FP,12.42
2013,fed,LNP FP,43.66
2013,fed,ALP FP,37.99
2013,fed,GRN FP,11.76
2013,fed,OTH FP,6.63
2010,fed,LNP FP,42.09
2010,fed,ALP FP,43.38
2010,fed,GRN FP,7.79
2010,fed,OTH FP,6.73
2007,fed,LNP FP,46.71
2007,fed,ALP FP,37.63
2007,fed,GRN FP,7.19
2007,fed,OTH FP,8.47
2004,fed,LNP FP,42.92
2004,fed,ALP FP,37.84
2004,fed,GRN FP,4.96
2004,fed,OTH FP,14.28
2019,nsw,LNP FP,45.63
2019,nsw,ALP FP,34.08
2019,nsw,GRN FP,10.29
2019,nsw,OTH FP,10.0
2015,nsw,LNP FP,51.15
2015,nsw,ALP FP,25.55
2015,nsw,GRN FP,10.28
2015,nsw,OTH FP,13.02
2011,nsw,LNP FP,38.98
2011,nsw,ALP FP,36.99
2011,nsw,GRN FP,8.95
2011,nsw,OTH FP,15.08
2007,nsw,LNP FP,34.35
2007,nsw,ALP FP,42.68
2007,nsw,GRN FP,8.25
2007,nsw,OTH FP,14.42
2022,vic,LNP FP,35.19
2022,vic,ALP FP,42.86
2022,vic,GRN FP,10.71
2022,vic,OTH FP,11.24
2018,vic,LNP FP,42.0
2018,vic,ALP FP,38.1
2018,vic,GRN FP,11.48
2018,vic,OTH FP,8.42
2014,vic,LNP FP,44.78
2014,vic,ALP FP,36.25
2014,vic,GRN FP,11.21
2014,vic,OTH FP,7.76
2010,vic,LNP FP,39.61
2010,vic,ALP FP,43.06
2010,vic,GRN FP,10.04
2010,vic,OTH FP,7.29
2006,vic,LNP FP,38.31
2006,vic,ALP FP,47.95
2006,vic,GRN FP,9.73
2006,vic,OTH FP,4.01
2020,qld,LNP FP,33.69
2020,qld,ALP FP,35.43
2020,qld,GRN FP,10.0
2020,qld,ONP FP,13.73
2020,qld,KAP FP,2.32
2020,qld,OTH FP,4.83
2017,qld,LNP FP,41.32
2017,qld,ALP FP,37.47
2017,qld,GRN FP,8.43
2017,qld,ONP FP,0.92
2017,qld,KAP FP,1.93
2017,qld,OTH FP,9.93
2015,qld,LNP FP,49.66
2015,qld,ALP FP,26.66
2015,qld,GRN FP,7.53
2015,qld,KAP FP,11.53
2015,qld,OTH FP,4.62
2012,qld,LNP FP,41.6
2012,qld,ALP FP,42.25
2012,qld,GRN FP,8.37
2012,qld,OTH FP,7.78
2009,qld,LNP FP,38.92
2009,qld,ALP FP,46.92
2009,qld,GRN FP,7.99
2009,qld,OTH FP,6.17
2006,qld,LNP FP,35.46
2006,qld,ALP FP,47.01
2006,qld,GRN FP,6.76
2006,qld,OTH FP,10.77
2021,wa,LIB FP,31.23
2021,wa,ALP FP,42.2
2021,wa,GRN FP,8.91
2021,wa,NAT FP,5.4
2021,wa,ONP FP,4.93
2021,wa,OTH FP,12.26
2017,wa,LIB FP,47.1
2017,wa,ALP FP,33.13
2017,wa,GRN FP,8.39
2017,wa,NAT FP,6.05
2017,wa,OTH FP,5.33
2013,wa,LIB FP,38.39
2013,wa,ALP FP,35.84
2013,wa,GRN FP,11.92
2013,wa,NAT FP,4.87
2013,wa,OTH FP,8.98
2008,wa,LIB FP,37.12
2008,wa,ALP FP,43.35
2008,wa,GRN FP,7.52
2008,wa,NAT FP,2.19
2008,wa,OTH FP,9.82
2022,sa,LNP FP,38.0
2022,sa,ALP FP,32.8
2022,sa,GRN FP,6.7
2022,sa,SAB FP,14.2
2022,sa,OTH FP,8.3
2018,sa,LNP FP,44.78
2018,sa,ALP FP,35.8
2018,sa,GRN FP,8.7
2018,sa,OTH FP,10.72
2014,sa,LNP FP,41.65
2014,sa,ALP FP,37.47
2014,sa,GRN FP,8.11
2014,sa,OTH FP,12.77
2010,sa,LNP FP,33.97
2010,sa,ALP FP,45.22
2010,sa,GRN FP,6.49
2010,sa,FF FP,5.88
2010,sa,DEM FP,2.89
2010,sa,OTH FP,5.55
2006,sa,LNP FP,41.42
2006,sa,ALP FP,36.34
2006,sa,GRN FP,2.36
2006,sa,FF FP,2.64
2006,sa,DEM FP,7.49
2006,sa,OTH FP,9.75
