2022,fed,OTH FP,14.72,13,12.42,6.59,6.74,8.47,14.28,17.77
2019,fed,OTH FP,13,12.42,6.59,6.74,8.47,14.28,17.77,11.08
2016,fed,OTH FP,12.42,6.59,6.74,8.47,14.28,17.77,11.08,11.08
2013,fed,OTH FP,6.59,6.74,8.47,14.28,17.77,11.08,11.08,17.1
2010,fed,OTH FP,6.74,8.47,14.28,17.77,11.08,11.08,17.1,8.2
2007,fed,OTH FP,8.47,14.28,17.77,11.08,11.08,17.1,8.2,7.44
2004,fed,OTH FP,14.28,17.77,11.08,11.08,17.1,8.2,7.44,6.91
2001,fed,OTH FP,17.77,11.08,11.08,17.1,8.2,7.44,6.91,8.45
1998,fed,OTH FP,11.08,11.08,17.1,8.2,7.44,6.91,8.45,12.24
1996,fed,OTH FP,11.08,17.1,8.2,7.44,6.91,8.45,12.24,4.11
1993,fed,OTH FP,17.1,8.2,7.44,6.91,8.45,12.24,4.11,4.97
1990,fed,OTH FP,8.2,7.44,6.91,8.45,12.24,4.11,4.97,8.93
2022,fed,xOTH FP,8.21,11.71,6.93,6.37,5.76,6.04,4.53,3.21
2019,fed,xOTH FP,11.71,6.93,6.37,5.76,6.04,4.53,3.21,4.32
2016,fed,xOTH FP,6.93,6.37,5.76,6.04,4.53,3.21,4.32,7.06
2013,fed,xOTH FP,6.37,5.76,6.04,4.53,3.21,4.32,7.06,5.84
2010,fed,xOTH FP,5.76,6.04,4.53,3.21,4.32,7.06,5.84,2.2
2007,fed,xOTH FP,6.04,4.53,3.21,4.32,7.06,5.84,2.2,1.99
2004,fed,xOTH FP,4.53,3.21,4.32,7.06,5.84,2.2,1.99,1.88
2001,fed,xOTH FP,3.21,4.32,7.06,5.84,2.2,1.99,1.88,1.88
1998,fed,xOTH FP,4.32,7.06,5.84,2.2,1.99,1.88,1.88,2.86
1996,fed,xOTH FP,7.06,5.84,2.2,1.99,1.88,1.88,2.86,4.11
1993,fed,xOTH FP,5.84,2.2,1.99,1.88,1.88,2.86,4.11,4.97
1990,fed,xOTH FP,2.2,1.99,1.88,1.88,2.86,4.11,4.97,8.93
2022,fed,ALP FP,33.44,34.73,33.38,37.99,43.38,37.63,37.84,40.1
2019,fed,ALP FP,34.73,33.38,37.99,43.38,37.63,37.84,40.1,38.75
2016,fed,ALP FP,33.38,37.99,43.38,37.63,37.84,40.1,38.75,44.92
2013,fed,ALP FP,37.99,43.38,37.63,37.84,40.1,38.75,44.92,39.44
2010,fed,ALP FP,43.38,37.63,37.84,40.1,38.75,44.92,39.44,45.9
2007,fed,ALP FP,37.63,37.84,40.1,38.75,44.92,39.44,45.9,47.55
2004,fed,ALP FP,37.84,40.1,38.75,44.92,39.44,45.9,47.55,49.48
2001,fed,ALP FP,40.1,38.75,44.92,39.44,45.9,47.55,49.48,45.15
1998,fed,ALP FP,38.75,44.92,39.44,45.9,47.55,49.48,45.15,39.65
1996,fed,ALP FP,44.92,39.44,45.9,47.55,49.48,45.15,39.65,42.84
1993,fed,ALP FP,39.44,45.9,47.55,49.48,45.15,39.65,42.84,49.3
1990,fed,ALP FP,45.9,47.55,49.48,45.15,39.65,42.84,49.3,49.59
2022,fed,LNP FP,41.44,42.04,45.55,43.66,42.09,46.71,42.92,39.51
2019,fed,LNP FP,42.04,45.55,43.66,42.09,46.71,42.92,39.51,47.25
2016,fed,LNP FP,45.55,43.66,42.09,46.71,42.92,39.51,47.25,44.27
2013,fed,LNP FP,43.66,42.09,46.71,42.92,39.51,47.25,44.27,43.46
2010,fed,LNP FP,42.09,46.71,42.92,39.51,47.25,44.27,43.46,45.9
2007,fed,LNP FP,46.71,42.92,39.51,47.25,44.27,43.46,45.9,45.01
2004,fed,LNP FP,42.92,39.51,47.25,44.27,43.46,45.9,45.01,43.61
2001,fed,LNP FP,39.51,47.25,44.27,43.46,45.9,45.01,43.61,46.4
1998,fed,LNP FP,47.25,44.27,43.46,45.9,45.01,43.61,46.4,48.11
1996,fed,LNP FP,44.27,43.46,45.9,45.01,43.61,46.4,48.11,53.05
1993,fed,LNP FP,43.46,45.9,45.01,43.61,46.4,48.11,53.05,45.73
1990,fed,LNP FP,45.9,45.01,43.61,46.4,48.11,53.05,45.73,41.48
2022,fed,GRN FP,10.4,10.23,8.65,11.76,7.79,7.19,4.96,2.62
2019,fed,GRN FP,10.23,8.65,11.76,7.79,7.19,4.96,2.62,2.92
2016,fed,GRN FP,8.65,11.76,7.79,7.19,4.96,2.62,2.92,1.83
2013,fed,GRN FP,11.76,7.79,7.19,4.96,2.62,2.92,1.83,1.37
2010,fed,GRN FP,7.79,7.19,4.96,2.62,2.92,1.83,1.37,0
