MidDate,Firm,Brand,@TPP,LIB FP,ALP FP,GRN FP,ONP FP,NAT FP,UAP FP,OTH FP,GLApp,GLDis,Comments
1986-01-25,Newspoll,,#N/A,39,54,#N/A,#N/A,4,#N/A,3,67,22,#NAT fp vote extrapolated
1986-02-05,Newspoll,,#N/A,36,55,#N/A,#N/A,4,#N/A,5,72,20,#NAT fp vote extrapolated
1986-03-15,Newspoll,,#N/A,34,58,#N/A,#N/A,4,#N/A,4,60,31,#NAT fp vote extrapolated
1986-06-15,Newspoll,,#N/A,39,52,#N/A,#N/A,4,#N/A,5,52,38,#NAT fp vote extrapolated
1986-09-15,Newspoll,,#N/A,42,47,#N/A,#N/A,4,#N/A,7,53,39,#NAT fp vote extrapolated
1986-12-15,Newspoll,,#N/A,46,45,#N/A,#N/A,4,#N/A,5,60,34,#NAT fp vote extrapolated
1987-02-15,Newspoll,,#N/A,44,46,#N/A,#N/A,4,#N/A,6,64,28,#NAT fp vote extrapolated
1987-05-15,Newspoll,,#N/A,35,56,#N/A,#N/A,4,#N/A,5,63,28,#NAT fp vote extrapolated
1987-08-15,Newspoll,,#N/A,41,50,#N/A,#N/A,4,#N/A,5,59,33,#NAT fp vote extrapolated
1987-11-15,Newspoll,,#N/A,44,46,#N/A,#N/A,4,#N/A,6,68,26,#NAT fp vote extrapolated
1988-02-15,Newspoll,,#N/A,43,47,#N/A,#N/A,4,#N/A,6,37,14,#NAT fp vote extrapolated
1988-05-15,Newspoll,,#N/A,39,49,#N/A,#N/A,4,#N/A,8,55,16,#NAT fp vote extrapolated
1988-08-15,Newspoll,,#N/A,45,47,#N/A,#N/A,4,#N/A,4,61,26,#NAT fp vote extrapolated
1988-11-15,Newspoll,,#N/A,43,46,#N/A,#N/A,4,#N/A,7,56,29,#NAT fp vote extrapolated
1989-02-01,Newspoll,,#N/A,41,45,#N/A,#N/A,4,#N/A,10,49,42,#NAT fp vote extrapolated
1989-03-15,Newspoll,,#N/A,41,44,#N/A,#N/A,4,#N/A,11,58,31,#NAT fp vote extrapolated
1992-02-15,Newspoll,,#N/A,49,35,#N/A,#N/A,4,#N/A,12,63,28,#NAT fp vote extrapolated
1992-05-15,Newspoll,,#N/A,42,38,#N/A,#N/A,4,#N/A,16,68,25,#NAT fp vote extrapolated
1992-08-15,Newspoll,,#N/A,42,39,#N/A,#N/A,4,#N/A,15,60,32,#NAT fp vote extrapolated
1992-11-15,Newspoll,,#N/A,42,43,#N/A,#N/A,4,#N/A,11,54,37,#NAT fp vote extrapolated
1992-12-12,F2F Morgan,,#N/A,46,39,#N/A,#N/A,#N/A,#N/A,15,,,
1993-04-15,Newspoll,,#N/A,41,47,#N/A,#N/A,4,#N/A,8,32,45,#NAT fp vote extrapolated
1993-07-15,Newspoll,,#N/A,48,40,#N/A,#N/A,4,#N/A,8,41,47,#NAT fp vote extrapolated
1993-10-15,Newspoll,,#N/A,45,41,#N/A,#N/A,4,#N/A,10,48,43,#NAT fp vote extrapolated
1993-12-15,Newspoll,,#N/A,53,34,#N/A,#N/A,4,#N/A,9,49,37,#NAT fp vote extrapolated
1994-02-15,Newspoll,,#N/A,54,33,#N/A,#N/A,4,#N/A,9,58,35,#NAT fp vote extrapolated
1994-05-15,Newspoll,,#N/A,48,37,#N/A,#N/A,4,#N/A,11,55,37,#NAT fp vote extrapolated
1994-08-15,Newspoll,,#N/A,50,34,#N/A,#N/A,4,#N/A,12,58,34,#NAT fp vote extrapolated
1994-11-15,Newspoll,,#N/A,49,34,#N/A,#N/A,4,#N/A,13,57,34,#NAT fp vote extrapolated
1995-02-15,Newspoll,,#N/A,44,38,#N/A,#N/A,4,#N/A,14,52,40,#NAT fp vote extrapolated
1995-05-15,Newspoll,,#N/A,46,32,#N/A,#N/A,4,#N/A,18,47,46,#NAT fp vote extrapolated
1995-08-15,Newspoll,,#N/A,45,32,#N/A,#N/A,4,#N/A,19,46,46,#NAT fp vote extrapolated
1995-11-15,Newspoll,,#N/A,40,35,#N/A,#N/A,4,#N/A,21,45,48,#NAT fp vote extrapolated
1996-02-15,Newspoll,,#N/A,46,36,#N/A,#N/A,4,#N/A,14,45,44,#NAT fp vote extrapolated
1996-04-23,Westpoll,,#N/A,51.68539326,33.70786517,4.494382022,#N/A,2.247191011,#N/A,7.865168539,,,#NAT fp vote extrapolated
1996-05-15,Newspoll,,#N/A,48,31,#N/A,#N/A,4,#N/A,17,54,38,#NAT fp vote extrapolated
1996-08-15,Newspoll,,#N/A,49,29,#N/A,#N/A,4,#N/A,18,53,38,#NAT fp vote extrapolated
1996-11-15,Newspoll,,#N/A,52,30,#N/A,#N/A,4,#N/A,14,58,30,#NAT fp vote extrapolated
1996-12-12,Newspoll,,#N/A,44,33,#N/A,#N/A,4,#N/A,19,51,39,#NAT fp vote extrapolated
1997-05-15,Newspoll,,#N/A,43,35,#N/A,#N/A,4,#N/A,18,45,45,#NAT fp vote extrapolated
1997-08-15,Newspoll,,#N/A,42,35,#N/A,#N/A,4,#N/A,19,48,43,#NAT fp vote extrapolated
1997-11-15,Newspoll,,#N/A,44,37,#N/A,#N/A,4,#N/A,15,51,41,#NAT fp vote extrapolated
1998-02-15,Newspoll,,#N/A,39,40,#N/A,#N/A,4,#N/A,17,40,44,#NAT fp vote extrapolated
1998-05-15,Newspoll,,#N/A,38,38,#N/A,#N/A,4,#N/A,20,36,51,#NAT fp vote extrapolated
1998-08-03,F2F Morgan,,53.5,34,40,3.5,11,4,#N/A,7.5,,,#NAT fp vote extrapolated
1998-08-15,Newspoll,,#N/A,36,40,#N/A,#N/A,4,#N/A,20,39,52,#NAT fp vote extrapolated
1998-10-01,F2F Morgan,,52,36,42,5.5,5.5,4,#N/A,7,,,#NAT fp vote extrapolated
1998-11-15,Newspoll,,#N/A,41,41,#N/A,#N/A,4,#N/A,14,40,44,#NAT fp vote extrapolated
1998-11-25,F2F Morgan,,54.5,35.5,43,5.5,5,4,#N/A,8,,,#NAT fp vote extrapolated
1999-02-03,F2F Morgan,,53,35,40,8,3.5,4,#N/A,9.5,,,#NAT fp vote extrapolated
1999-02-15,Newspoll,,#N/A,43,40,#N/A,#N/A,4,#N/A,13,43,45,#NAT fp vote extrapolated
1999-04-01,F2F Morgan,,52.5,36.5,41.5,6.5,4,4,#N/A,7.5,,,#NAT fp vote extrapolated
1999-05-15,Newspoll,,#N/A,40,41,#N/A,#N/A,4,#N/A,15,42,46,#NAT fp vote extrapolated
1999-05-30,F2F Morgan,,52,34,39,8.5,4,4,#N/A,10.5,,,#NAT fp vote extrapolated
1999-08-01,F2F Morgan,,51,36,39.5,6,4,4,#N/A,10.5,,,#NAT fp vote extrapolated
1999-08-15,Newspoll,,#N/A,38,41,#N/A,#N/A,4,#N/A,17,38,51,#NAT fp vote extrapolated
1999-08-25,Westpoll,,#N/A,30,38,#N/A,#N/A,2,#N/A,#N/A,,,#NAT fp vote extrapolated
1999-10-05,Westpoll,,#N/A,36,35,#N/A,#N/A,2,#N/A,#N/A,,,#NAT fp vote extrapolated
1999-10-01,F2F Morgan,,51,33.5,39,5.5,5,4,#N/A,13,,,#NAT fp vote extrapolated
1999-11-15,Newspoll,,#N/A,36,43,6,2,4,#N/A,9,37,51,
1999-12-01,F2F Morgan,,54.5,36.5,44,4,3,3,#N/A,10.5,,,
2000-02-01,F2F Morgan,,58,31.5,44,6,4,2,#N/A,12.5,,,
2000-02-05,Westpoll,,#N/A,33,52,6,2,1,#N/A,6,,,#date estimated
2000-02-15,Newspoll,,#N/A,37,43,5,1,6,#N/A,8,40,49,
2000-03-05,Westpoll,,#N/A,39,48,3,1,2,#N/A,7,,,"#NAT fp vote extrapolated,date estimated"
2000-04-01,F2F Morgan,,52.5,33,41.5,7,3,3.5,#N/A,12,,,
2000-04-05,Westpoll,,#N/A,38,47,5,0,2,#N/A,8,,,"#NAT fp vote extrapolated,date estimated"
2000-05-09,Westpoll,,#N/A,41,43,4,1,2,#N/A,9,,,#NAT fp vote extrapolated
2000-05-15,Newspoll,,#N/A,37,40,4,2,6,#N/A,11,41,47,
2000-06-01,F2F Morgan,,57.5,31.5,44,6.5,4,2.5,#N/A,11.5,,,
2000-06-07,Westpoll,,#N/A,37,52,3,2,2,#N/A,4,,,#NAT fp vote extrapolated
2000-07-05,Westpoll,,#N/A,41,44,6,2,2,#N/A,9,,,#date estimated
2000-08-01,F2F Morgan,,56,31.5,41.5,7.5,4,4,#N/A,11.5,,,
2000-08-15,Newspoll,,#N/A,35,43,4,3,6,#N/A,9,42,48,
2000-09-09,Westpoll,,#N/A,33,35,#N/A,#N/A,2,#N/A,#N/A,,,"#NAT fp vote extrapolated, date estimated"
2000-10-01,F2F Morgan,,52,36,39,5.5,3,3.5,#N/A,13,,,
2000-10-05,Westpoll,,#N/A,37,47,4,2,3,#N/A,7,,,#date estimated
